,Recent headlines and conversations for SBUX,Polarity
223,Guaranteed they show the same downgrade over and over on the news feed ! THEY WANT YOUR SHARES,0.5328
224,sbux boycott and dunkin stock drops?,-0.1167
225,The day will come again when I can bring my laptop to Starbucks,-0.022
226,how smart is the average Starbuck store employee?,0.396
227,The Starbucks by my home with a drive thru and everything has been shut down for over a week now,0.2189
228,Yes.,0.4019
229,$193 it is obvious where people are going for the holidays.Costco doesn't sell yachts or sailor suits. Red LOSES again.,-0.6409
230,$$$$$$$$$$$$$$$$$$$$$$$ Howard Schultz will be running for President in 2020 according the news reports.,0.5591
231,CFO retiring Rats leaving ship,0.406
232,"CHASERS WILL BURN IN THIS STOCK BUBBLE!The US Stocks are EXTREMELY OVERVALUED and OVERBOUGHT!SELL ALL US Stocks in this TULIP MANIA BUBBLE! The Valuations are ABSURD and IMPOSSIBLE TO JUSTIFY!INFLATION IS SKYROCKETING as the FED continues to PUMP the Price of everything, stocks, oil, gold, home, land, commodities, utilities, food prices and everything!The World Economy is Collapsing, people are starving, but the US Market Makers are too busy in printing money and PUMPING the Stock prices Artificially to make insiders trillionaire without working!Enjoy Free Capital Gains in the US Stock Market while the Corporate Revenues are tanking and the Economy is Collapsing! US Stock Market is a “GET QUICK RICH” Scheme!Dow Jones Industrial Average (^DJI) was 17,000 in 2016, with better economic fundamentals and higher corporate earnings. However, thanks to the Collapsing Economy, Coronavirus Pandemic, Tanking Corporate revenues and earnings, Skyrocketing unemployment, Trade Wars, Record INFLATION levels, and Heavy Stock Dilutions, Dow Jones Industrial Average (^DJI) BUBBLE has almost Doubled! S&P 500 (^GSPC) was at 1600.00 with better fundamentals and higher corporate earnings in 2016. Now it is sitting at ABSURD 3800.00 with TERRIBLE Fundamentals, Collapsing Economy, HEAVIER Corporate and National Debt and way lower corporate revenues and earnings!The World Countries are refusing to accept the US Dollar as international reserve currency due to the HEAVY Dollar PRINTING!US Stocks are INSANELY OVERVALUED and OVERBOUGHT! US Stock Market is a MEGA BUBBLE right now!!!https://edition.cnn.com/2020/05/01/investing/stock-market-recession-coronavirus/index.html$AMD $NVDA $AMZN $AAPL $SQ $SHOP $SNAP $TWLO $CRM $ROKU $ADBE $DB $BAC $JPM $MS $GS $TWTR $TSLA $IBM $INTC $MSFT $GOOG $LMT $BA $TXN $NXPI $LRCX $NKE $DIS $EBAY $X $MA $V $S $T $F $GM $NFLX $CSCO $CAT $MMM $SBUX $TGT $WMT $ATVI $EA $TTWO $MCD $AVGO $JNJ $BIDU $BZUN $BABA $MU $AMAT $QCOM $WFC $BBBY $PFE $GE $WDC $BLK $KO $UA $ABBV $GILD $BB $ORCL $RH $KEM $IQ $GRPN $PYPL $MA $MOMO $JD $WBA $CVS $FB $W $BBY $SKX $FL $EFX $ETSY $W $UNH $SAP $GPRO $KHC $DPZ $PEP $LYFT $UBER $BYND $ZM $OLED $XOM $CVX $DAL $UAL $AAL $LUV $SAVE $AXP $SPCE $NCLH $CCL $NKLA $NIO $ZM $XPEV $QS",-0.9898
233,Drive thru still Open in my areaCars lined up out into the street.,0.5828
234,Political drama and coffee drinking are not correlated.,-0.0828
235,SBUX reached a new 52 Week Low at 49.34,-0.0585
236,Off to Starbucks to get their new drink Purple drank latte,0.0396
237,If it’s break 115 it will go to 116.5,-0.3087
238,Cancelling Buyback and losing 70% of sales and this stock still sees $70. Wow there are really some believing in this stock. There should be panic selloff normally.,0.5481
239,Odd smell at Starbuck's identified. Coffee isn't the only brown thing in there and that's the poop on the matter. Fecal people...as in excrement.Enjoy your coffee now you get the result in the first sip if you get my drift.,-0.0063
240,to go please with real milk and sugar,0.3066
241,SBUX is opening stores at 25% of normal traffic. This will result in a net loss. It will slow down the hemorrhaging of money in the form of fixed costs.There is nothing good in the news. Management states that losses will continue and increase dramatically throughout this year.,-0.3286
242,75 bucks - 2 weeks longest,-0.0099
243,Below 60 is a good buy,0.3789
244,SBUX 20 bilion invest,0.0417
245,"Go down , expensive products",-0.279
246,"SBUX to face new competition. Circle K, Exxon, Chevron, etc. to install at the pumps a new technology that can automatically make 24/7, a cup of coffee 100% as good as SBUX and Peets. Cheaper price, quicker, fashion designer cups from Gucci to YSL. The only people that go into SBUX or sit outside are bums. People only want the caffeine and high quality coffee on the fly.",0.946
247,Why the drop,-0.2502
248,False earnings numbers again.,-0.1427
249,$102 and beyond let’s go!,0.269
250,hold or sell?,0.0576
251,Big BUBBLE......,0.1166
252,starshits has to be the worse coffee ever.,-0.4413
253,margins shrank....profitablity down.....guidance not raised but in the lower end of range,-0.524
254,"Seems like Jim Cramer poured water on the run and then promoted several other investments he's currently invested in. We've seen this before, once his position is built then he'll be all over Starbucks telling everyone what a great move Ackman made.",0.9203
255,I just don't get it. I sure hope this is a double bottom forming.,0.4163
256,"Obummer - not so much the Zulu warrior, more the Nigerian con artist. SBUX new drink , the Obummer. U order one thing get another and get short changed.",0.2452
257,"Don't worry guys. There's hardly any volume on $SBUX today and it's down again. Everyone's just waiting for upcoming earnings, when they'll crush it. If she comes down a bit more before then, I may add to my holdings.",0.7955
258,"The result speaks for itself. I feel bad for some of the franchisees who have to see their revenue suffer because of the lack of common sense of ex-CEO Schultz. I think they should consider changing their franchise to Coffee Bean, Pete's or Dunkin if they no longer share the same business philosophy with the Starbucks corporate.",-0.5412
259,"I've been saying it for months, and now finally its starting to sink in. Today, Starbucks is DOWNGRADED... Sell NOW..",0.0524
260,"The management of this company has violated their fiduciary obligations, by putting their own leftard political agenda above the interests of it's shareholders.Shareholder lawsuits will likely follow.The board needs to replace management.",0.2596
261,"Downgraded on cannibalization fears, meaning Starbucks are losing sales to other Starbucks locations. Would you rather spread your sales across multiple locations, assuming all are profitable, or give those sales to another coffee house competitor? I'd rather collect all the profitable sales possible, as long as I was able to deliver a great experience in each and every store. Long story short, I think cannibalization fears are overblown. The SBUX story is still only in chapter 4 of an 8 chapter book and there's a very happy ending in the end.",0.8119
262,"world's people doesn't like army, nobody like war, but world's people like SBUX coffee, SO world peace will boost SBUX sales strong growth. China support North Korea quit nuclear bomb and long missile, the world war will end, the world's people can sitting chair happy drinking SBUX coffee, no war affect them, this is very good news for SBUX.",0.924
263,Are you guys aware that there is a CBD infused coffee being sold. The company stock symbol is BCCI. I found their website very informative. They will be advertising at the Grammy Awards this Sunday as well as a bunch of NBA games and 61NASCAR races. They also had ads at last weeks Super Bowl. Why doesn’t SBUX sell an infused coffee?,0.9465
264,"The shorts are trying desperately to get the price lower. Almost hilarious to read, the things you people say. The intelligent people understand what you are doing. Here is reality:1. Starbucks is a very profitable company, always will be. 2. The stock is now very undervalued.3. People are not going to stop drinking coffee.4. This is a golden opportunity to buy low, sell high at the end of the year.I bought 3,000 shares and plan to pocket at least $17,000 by Christmas. 5. Dividends increased.6. Debt is relatively low. Look at other companies!7. The closing of 150 stores is a GOOD thing, not a BAD thing. Why? They are under performing, and there are better places to open up shops. That Seattle mall where there are four Starbucks shops is pretty ridiculous. 8. Stock buybacks will happen now at a much faster pace, and the number of shares will increase, more than normal...per press release. Beautiful! Will increase the price obviously.9. For the truly investment savvy people out there who understand selling covered calls on your shares, that strategy also add to your profits. So you get dividends, price appreciation, and covered call profits!! A triple ""bagger"" so to speak. Good luck Longs...the shorts will cover within a couple days or so. We can relax and enjoy the rise back. In summary - as Warren Buffet says = Buy low, sell high.",0.9966
265,the weather's changing... people Need their SBUX in the morning!!!,-0.2454
266,So sales are down. That should be no surprise considering Shultz insulted half his customer base,-0.4736
