,Recent headlines and conversations for LOW,Polarity
262,WATCH IT JUMP ABOUT COVER 200K SHARES,0.5818
263,HERE GOES LAST 30 MIN SHORTS WILL FIGHT,-0.8043
264,DONT CARE WHAT U GUYS DO,0.5972
265,"TipRanks has Lowes 1 year price target at $193 for a medium. $193 would be a 22% upside from here. I had a sell limit at $169 for this week, but I decided to cancel that order and go long for a year or even more.",0.7796
266,I'll take LOW under 160. Sell to me. I had sold out at 177.Starting a 1/5th of a position here.,-0.1596
267,Any devastated stores are covered by insurance.,-0.6731
268,It’s doing just like Walmart did.,0.6145
269,Marvin lost 70-80% of share value while CEO at JCP! yikes. Sorry for your loss! RIP,0.7556
270,HAHAHAHA U CANT GET ABOVE HAHAHHA,0.0535
271,needs to break through 117-118,-0.2675
272,Dividend King! Talks about Lowe's being a value and how they have raised their dividends for the last 10 years. https://finance.yahoo.com/news/lowe-companies-low-dividend-stock-155342072.html,0.5338
273,Loop capital raises Low target price from 195 to 220.,-0.3358
274,LOOK AT HOME DEPOT NOT UP MUCH THIS WILL COME DOWN TOO,0.196
275,"I still typically shop at LOW instead of HD, simply because I'm a shareholder, but I must say I'm not sure how much longer I'll be that shareholder. The company is managing for the short term in my opinion. They are focused on cost cutting, but instead of looking at how to be more efficient, they're taking the easy route and simply reducing employee costs. That tells me senior management is either out of ideas or simply doesn't want to work hard. It's obvious in the few LOW stores I frequent, there are less employees overall and even more concerning is that the remaining employees are less informed and less interested in customer service. This approach could result in near term earnings beats, better margins, etc., etc., but will likely result in exactly the opposite long term. Maybe management has fallen in to the Amazon trap and believe like many investors that AMZN cannot be beat. If that's the case, bring in new management. There is a lot LOW can do! - Figure out how to better cater to contractors and pull some of that business from HD.- Quickly grow the smaller Orchard Supply Hardware store base, but please don't ruin it.- Heck... Do something transformative and go buy TSCO (Tractor Supply Company). There would be lots of synergies, could likely get at a discount from historic levels and provide growth that LOW sorely needs. I know this is going out on a limb, but it's better than their current strategy.I've been in this for over 8 years and have done well. I'm going to hope for a nice little pop back to the low-mid $80's at which point I'll likely sell all my shares and move on. BTW... I don't believe HD is taking this same approach.",0.9968
276,Ellison can't help but fail. Just look at the downgrades...,0.4797
277,"Bought some Sherwin Williams paint at Lowes. I did notice the paint person had 1/4 of their head shaved, the other 3/4 was dyed blue and they seemed to have a small bad attitude issue. That was probably DSC.",-0.5339
278,Niblock retiring.,0.0
279,$LOW Initiates Coverage On Citigroup Buy USD 195,0.3751
280,Lowe's Companies is down 4.91% to 107.73,-0.2462
281,Lowes giving out obama bucks $$$$ lots of layoffs and jobs going to india.,0.1393
282,118.97 I S RESISTENCE,-0.233
283,"Yahoo stock conversation boards use to be much more interesting and useful, even with all the nonsense and trolling. Look at this board. the ""top posts"" are 6 days old! What makes them ""top posts""? Why bother posting? This probably won't get posted.",0.777
284,the forward guidance is what choke stock. oh well hope to see better earnings in the 3rd quarter.,0.6765
285,#$%$ is going on?,0.0273
286,Wow. Actual DD an info sharing on a message board about a stock. People even asking for thoughts with honest responses. Glad I bought in yesterday and added more today. Happy to own a part of this great company.,0.9838
287,Short again premarket. Average short price 22. Never plan on covering for a loss. Stocks going up on Q1 is a joke. Only Q2 matters.,-0.2581
288,"ER will be huge, all of suburban families vacation money went to all of that #$%$ that needed to be done around the house"" jobs, Here in suburbs of nyc Lowes has been packed every visit !!",0.3629
289,READ THIS ONE! https://www.stockmetrix.net/blog/post/082218/home-depot-remains-better-value-lowes?t=yfbek,0.6975
290,GO DOWN LIKE EARLIER SHOW THIS MORONS GO DOWN,-0.4225
291,Lowe's is a buy plain simple.,0.035
292,SHORT IT,-0.4807
293,"HD had over $850 million expenses related to extra payments to employees due to Covid 19. I am surprised Lowe's din't mention any additional costs, their employees must have worked without extra compensation. It is kind of weird. Online sales are up 80%, so is HD's and they begin with much higher sales base. Going from 1 to 1.80 is not same as going from 3 to 5.40.HD stock goes down, Lowe's us, something doesn't add up here.",0.8159
294,"Dave H.Hiring inexperienced people does not help. However, Home Depot is no better in customer service. The folks that were home in North Wilkesboro got the shaft.",0.8071
295,"According to Foursquare's research, Lowe's would be a top acquistion candidate for Amazon. If that were to happen, LOW shares are going to the moon, baby. If not, it's a steady clime over time, with rock-solid increasing dividends. Caution: this info is for investots who are looking beyond a pop from a hurricane...",0.8924
296,"Amazon is a threat to LOW (and HD), but not because they'll now be selling Kenmore appliances on their site. I think that was ridiculously overblown today with $billions$ lost in market value today alone. With that said... I am a long term owner of LOW stock having been in since 2009 and am strongly considering unloading a big portion of my holding simply because I'm disappointed with the staffing levels in their stores. They should be investing more in people to differentiate themselves with customer service, but instead are cost cutting (fewer and poorly trained staff) and that's very hard road to get off of once you make that turn.",0.0276
297,Remodelling and finishing house projects would be best thing to catch up on if people get quarantined at home for 14 days!,0.8393
298,shouldn't this be going up?,0.166
299,Bought another lot again. Thank you!I'm buying every dip as this downtrend is only temporary as people flock the Covid stocks. This is not a stay-at-home stock and earnings report will be huge next week!,0.86
300,WATCH AND SEE IM NOT JOKING THIS CEO HE DOES SOME TRICKS WATCH,0.7012
301,Someone is bullish today buying 200K of stock and selling 200K of covered calls @ $110.,0.6016
302,"Buy Buy Buy coming  $165 easily then $173 , $180 then $200 shares are too cheap to ignore",0.7329
303,MADE MONEY GOING DOWN MAKING MONEY GOING UP,-0.1407
304,"WOW, Lith power tools are selling for 40% less than last year most customers using layered discount. I bought a small amount of put options yesterday , wish I got a boat load. Worst Christmas price war since 1978",0.8544
305,Price upgrade to $92?,0.2217
306,SOME LONG CAME UP TAKINGPROFIT BUT ITS OKAY TKEY GIVING ME SOME CHEAP SHARES TO COVER,0.926
307,Lows great opportunity growth stock,0.8573
308,Why down in AH,0.1906
309,"Breaking news, jcp management to take control of Lowes.",0.0334
310,ITS COMING DOWN YES BABY YES BABY,0.7754
311,Lowe’s will actually benefit from inflation since they take margin above cost on all items including high inflation lumber and building materials.....not sure why they are selling off even more than non profitable tech that will clearly be hurt by interest rate increases.,0.9078
312,Larry Ellison is a class act CEO!! Seems to be a great buy!!,0.8838
313,Lowe's Companies reached an all time high at 162.21,0.3228
314,IF THEY GET GREEDY THEY WILL LOSE THATS ALL I GOT TO SAY,-0.4732
315,Stupid media calling this a Covid stock,-0.2077
316,bought today,0.0783
317,"Real nice of Lowes to get people to buy their products, with the promise of rebates, and then not honorthem. I guess what they would like to do is keep the money, and hope nobody asks. Suggest peopleshop at Menards or Home Deport instead. MNMZ-4687-3289",0.9344
318,"LOW is still below it's earnings justified 5yr. blended P/E average of 21. That FV price for EOFY20 would be $183. With FY21 est. of 7% gain, FV for EOFY21 is $197.",0.7596
319,Wow not the report I expected. They missed bad. Good thing I sold before the close yesterday. Guess were headed to $75 after all.,0.4692
320,the folks at JCP are dancing in the streets.......they may hold a parade.word of warning lowes exec's.........he fires anyone that disagrees with him.,-0.6802
321,here comes $50.00 . down she goes. they have lithium power tools from 2016 still on the high shelves. They tried to sell me some @ Christmas with dead batteries.,0.6203
322,UP $1.50 MARK MY WORDS WATCH AND SEE,0.6068
323,HERE WE GO,-0.0182
324,Spanking coming....,0.0
325,"Puts play, 17 aug. HD reports on 14th, my little wager is about forward looking statements from HD regarding tariffs and LOW would go down in sympathy. 1) Also the LOW noise about ex JCP ceo: cut labor to show profit in next report; the guy that drove JCP into the dirt, etc.2) Also, CNBC is made little to no mention of HD lately. Not being pumped anymore. No press, no interest. Until about a couple months ago HD was being pumped, an Amazon competitor, amazing, etc but now it is silence.3) LL took a nice hit.HD and LOW is getting no pump press. I could be wrong of course, thus the small wager.Thoughts?",0.6124
326,I’m bullish but looking at HD you got your answer,0.3503
327,$102 on Monday,0.0046
328,It is not a matter of lowes being better or worse than home depot. I think home depot is more for the pros out there as well as serious do it yourselfers. I see Lowes more directed towards woman. Prettier stores and more decoration items.Lowes will never surpass HD.,0.8999
