,Recent headlines and conversations for GRUB,Polarity
256,pandemic conditions and 30% increase in orders and they are still not making any money?!?!?! This is simply poor management. What a group of bums. I taking my money somewhere else. This is $$^#@^& ridiculous.,0.4268
257,Leaderboard says entry point. Chart experts.....what does this mean?￼,0.2143
258,"So are we heading back to the $30's, or can we keep in the $40's?",0.169
259,CEO messed up by commenting that GRUB is facing tough competition from Uber eats and other competitors.,0.143
260,Announcement of Starbucks getting on board should be forthcoming. Load up.,0.6296
261,WAY OVERBOUGHT COMING BACK DOWN SELL SELL SELL,0.0678
262,Is it 1 stock of TKWY for 1 of GRUB? Then it is 85 Euros or 100 bucks,0.1597
263,"Just some profit taking, 80 or close to it is the mark. Soon after earnings in Feb.",0.5131
264,"I love to see liberals shoot themselves in the foot! The CEO shows that there is a difference between having intelligence and having common sense. Mr. Baloney may have enough intelligence to be a CEO, but he has the common sense of a can of sauerkraut.",0.8095
265,glad I sold those 81 strike calls a few days back,0.4921
266,All the weak hands over the last few days are going to regret selling. Its accumulation time.. seen this before.,-0.44
267,So many naked shorts!!! Grab the popcorn today. Should be entertaining,0.7076
268,Set a buy at $88 for 500 never thought it’d hit today.,0.3107
269,"stock was up 7% yesterday and now down 6%, yawn",0.198
270,Hate this stock,-0.4333
271,Off the table,-0.0488
272,PE 786??? Does this company make like 100 bucks a year!!!,0.7494
273,Henry is the smart one... he sold yesterday and locked in his profits..... Looking pretty RED again folks....,0.5806
274,$100 open tomorrow - buy,0.0637
275,"Wow, grub hub holders are really smart. If they like to loose money that is. Shoulda bought uber, margin calls, eoy tax write offs, lawsuits, stomachs pains, divorces, homelessness , living in the streets, wife and kids left, a now looking for a 40 story building. These are the dividends of stubhub. Shoulda bought Uber",0.872
276,You at least suppose to retrace to $34.35 you clowns...,0.1398
277,So....borrow $ 125 millions to pay for last deal is OK with wall street ? and new bank agreement ( up to $ 225 mils )is considered a better loan ? Interest went up didn't ! Hmmmmmmmmmmmmmmmmm,0.9413
278,WOW @ 52 week LOW,0.4316
279,well what do you guys think will happen to this short term?my guess is this will retest the lows today.i also think we were up from the lows cuz of the overall green day.what do youll think?,0.5009
280,"Seems to be stuck between 47 and 49. Shorts can't push it much below 47, but seem to be able to keep it from moving much above 49. The breakout should be to the upside with no resistance until 52.30.",0.9492
281,What most of you don’t know is CA just passed AB 5! All gig independent contractors will now be employees with benefits and sick leave etc etc So enjoy the fall of profits and thank Gavin Newson for making 450k lose their job...,0.7924
282,It’s a MISS,-0.3254
283,Guess all those people saying stock is done for were dead wrong. Stock would never go up again end of the world stuff. What is wrong with some people...,-0.5808
284,Pushing higher remarket.,0.1752
285,PPS up in a down market! Now $104 AH! I agree with $120 late tomorrow.,0.5623
286,Made 25 million in net profit in 2018 and the market cap is 5 billion. How many shares can I but of this awesome deal?! Maybe they should merge with Uber and make the end come quicker!,0.8977
287,the stock will not drop. the pros r smarter than any of us and it woulda dropped already if there was no deal u morons,-0.1195
288,Time to shut this one down. Boycott this sewer until the CEO resigns!“If you do not agree with this statement then please reply to this email with your resignation because you have no place here. We do not tolerate hateful attitudes on our team.”,-0.2991
289,"To get an understanding of how ahead of itself GRUB is:""In the last 3 months, 15 ranked analysts set 12-month price targets for GRUB. The average price target among the analysts is $46.80. Analysts compare their price target to the current market price of the stock to determine how much potential upside or downside movement there could be in the stock price.""That is the current analyst consensus. Keep in mind these are TWELVE MONTH targets, way into the future. Yesterday's ER is NOT good enough to move these numbers. If things go well for GRUB for the rest of this year, a current price of $46.80 is being very generous and optimistic. That is why I am very glad to be Short at $51.00 until late this afternoon.",0.979
290,Hard to trade this stock. Tried it twice. Lost money twice. Maybe third time a charm. Lol,0.5739
291,"First rule of business as CEO. Don't let our political views interfere on how you run the business. You offended your employees (at least 1/2 of them) and you offended the majority of voters who might buy your stock or use your service. Not good, hope you learned a lesson.",0.8761
292,My $33 filled yet we went even lower! I’ll set a buy at $31,-0.101
293,These kinda bussiness pops over night come and go think deep. Also uber had its own uber eats there was no need for merger other than fake price hike manipulation pump and dump for all their scam. this merger is fake 5hey will find to back up or know something that will not pass ahead of time. Both ceos must be into scam legally or illegally SEC on side of corruotions too no one to protect investors. ;) its a great system lol,-0.7611
294,"Peter , perhaps a walk around the block ? Maybe sing some show tunes or cartoon theme songs ? Seriously, I understand your points of contention. However a company like Amazon and or the guy running Uber are already innovative and maybe they see a “new normal “ as a place where more people will use delivery . To sit here and just not think about that for a second is foolish. Go back and think about how Uber essentially ruined the cab industry , and spend the next year listing what Amazon has accomplished!!I’m older and have been doing this a long time and somewhat skeptical when I see valuations of things but you know I learned some time back that going with conventional thinking isn’t going to make me money.",0.9162
295,Initiated SELL $12 Targethttps://seekingalpha.com/instablog/50093457-best-on-the-street/5373339-grubhub-worm-turned,0.2515
296,SHORT!!! POS,-0.6164
297,People here who bash on this company fail to realize that other companies uses GrubHub's services for catered lunch/dinner/events rather than sending their people to order food.,0.3312
298,This stock is a strong sell - at least until Mr Maloney is GONE! He has to be the dumbest CEO in the country. Who in their right mind isolates their company from half the freaking market?!,0.3723
299,SHORT THIS WONT GO ANY HIGHER SHORT IT PROFIT,-0.5959
300,"#$%$ up waitr wtrh in extended hrs on the cheap,",0.4452
301,Worth 10$ negative per share with negative prospects.,-0.3455
302,Pandemic Wall Street Deal 2020! Here we will give you our crummy stock x2 and we get your crummy stock x1 and we can lose more money together!,0.4181
303,I'll never use this service again until this clown CEO is fired.....#boycottgrubhub,0.4032
304,"WTRH, will be the only online food delivery company that is available for sale now. Guess $1B or $2B?",0.7582
305,Jim Chanos is not having a good day...,0.5084
306,Lol I’ll buy in the teens!!! About to go that!!! low!! Uber will rule them all!!,0.5743
307,Insider trading that’s all move along,0.274
308,It's time to put my money to work on this company.I hate staying on the sideline watching daily activities.,-0.4234
309,Kramer was hitting CEO hard with multiple questions and the CEO seemed to be getting upset.,-0.303
310,Short Squeeze ?,-0.3894
311,I get that this is now an ‘essential’ and maybe even crucial service. Though everything about this stock is pointing south. Tough one. Maybe someone with more insight and less options can comment.,0.0404
312,ridiculous to bring a co like this public. its just a transactional middle man . middle men always get squeezed out eventually,0.334
313,Lots of selling going on with grub. Not sure why,0.4203
314,Shorts starting to cover. Over 20% short interest.,-0.1326
315,https://finance.yahoo.com/news/grubhub-profit-rises-75-percent-130935939.htmlNOT SURE WHY THE DROP,0.0771
316,good job longs ... to support whatsoever until 39s lets see how it all plays out....grrrrrr,0.7557
317,GOING BANKRUPT!!!,-0.6679
318,"Hey losers, you made the CEO FILTHY RICH. ""Mr. Maloney owns over 1,636 units of Grubhub stock worth over $1,366,903 and over the last 6 years he sold GRUB stock worth over $128,357,275. In addition, he makes $6,987,300 as Chief Executive Officer and Director at Grubhub.""",0.8845
319,might swing 103 ss,-0.4617
320,GRUB OVERBOUGHT....IT'S TIME TO SELL.....,0.0157
321,Going to have to take a shower after day trading this. Just like I had to with NIO.... lol,0.7417
322,"This reminds me of Wachovia buyout. Chase, Citi and Wells wanted to purchase the bank . Wells Fargo paid more after a deal was done with Citi. Multiple bids drives up the price. Three firms want it.",0.813
323,Boycott Grub and delete the app. Matt Maloney is stealing money from investors and this is a real felony.,-0.8458
324,Uber Eats is killing GRUB. Just ask the employees at the restaurants.,-0.5938
