,Recent headlines and conversations for CMCSA,Polarity
190,"Magoo, Press never told you about Chelsea father-in-law #$%$ and close friend of Bill Clinton went to jail. Go Google Edward mezvinsky...or how the press did expose that Mr Khan had was an immigration lawyer and had a immigration website when trump speaking against Khan when he spoke and DNC convention. Or how about early last week when Cecilia Vargas was talking about Immigrations raids and about Trump deporting a non violent women but failed to mention that she had a fasle Social Security Card. The liberal press to just bad instigating news. When you go on CNN and can't find out much wants going on the world except them constantly talking negative and instigating negatives what ifs is causing the country to be more divided not Trump.",0.2262
191,check out the finances of our Government,0.1139
192,RGSE check it out,0.2354
193,We NEED a drug addict Passport!,0.2163
194,CMCSA reached a 52 Week low at 34.06,-0.1464
195,Comcast launches Xfinity Flex internet streaming TV,0.162
196,"Joe, We are looking good today..",0.7786
197,CMCSA is down 6.15% to 35.58,-0.2462
198,I just picked up some (for long term). Looks like they are still 'digesting Sky' - but looks like 'slow but steady' growth ahead.,0.9339
199,NBC....That women who was the moderator of the Town Hall meeting did the worse job I have ever watched. She should be fired. I was for Biden and she made me change my mind and I'll vote for Trump. Oh China and Iran want Trump to lose also. No comcast products for me,-0.3363
200,"Beats on EPS, beats on revenue and strength in broadband market, it’s only negative was the loss bigger than anticipated on cable subscribers, this is oversold and it’s only a matter of time before it recoups to new highs",-0.0882
201,Riding high again...,0.238
202,"what a laugh....WHO and the chinese......tedros is always making nicey to the liars and killers acrossthe pacific,..why does cnbc even dignify anything they say?",-0.5624
203,I guess the CONservatives want the news to cover the Sweden and Bowling Green attacks.,-0.2234
204,"Comcast was in the mid teens around the time Obama took office. Counting the split, it's now over $75! Thanks Barack!!!",0.5738
205,"I watching King Solomons mines (the first version) today. Two warring tribes are beating each other to a pulp, using rocks attached to wood handles. Had people not been brought here from there 200 years ago, perhaps Lebron James and Curry would be living there, beating each other over the head with rocks. Maybe that's the way they want it to be again. Maybe they wont be happy here, no matter how much money they have. Social injustice is James having 400 million dollars.",-0.8956
206,"Tom Steyer is paying democrats to impeach Mr. Trump. You remember Tom. The guy who held up the keystone, so his pipeline would make more money. The guy who made billions in fossil fuels. The guy who promised to divest from carbon fuels over 3 years ago, but still own Baker Hughes. Yes, Tom is qualified to run the left. He's as big a hypocrite as them come.",0.8966
207,Quick read on Comcast expected to raise it's dividend: 1/19/2020 https://www.google.com/amp/s/www.barrons.com/amp/articles/comcast-valero-and-3-other-companies-expected-to-increase-their-dividends-51579438800,0.4651
208,CMCSA is up 6.89% to 47.60,0.1818
209,hopefully we will go down 20%,0.1271
210,Anyone see Nancy getting her hair done?,0.0708
211,"As you watch the convention tonight, with liberals smiling, think about the destruction, shootings and deaths they are enabling. Look at all the shootings in Philly, including 37 this weekend. And comcast loves liberals. they want cheap labor coming across the border, and want to use huawei 5g, and they dont care how many people must be shot or killed. In their board of directors meetings, they are high fiving every shooting, as they think it hurts the president. comcast is sick, and its sickness is killing people all over.this is a city that lets bad people out of jail, and has a liberal mayor, who is actively trying to defund the police, and make it worse before the election. https://www.google.com/search?q=37+people+shot+in+philly&rlz=1C1CHBD_enUS904US904&oq=37+people+shot+in+philly&aqs=chrome..69i57.5070j0j4&sourceid=chrome&ie=UTF-8",-0.6844
212,Why’s CMCSA getting punished today?,-0.4011
213,Looking Good...,0.0
214,Fake News and liberal democrat still angry Crooked Hillary lost. Thank God she did. George Soros mad to he wasted $Million$ on her losing performance.,-0.8506
215,Comcast Enterprise value is at $215 billion. $86 billion in revenue. $66 billion in Debt. $6 billion in cash. Comcast should go higher on their bid.Disney Enterprise value is at $176 billion. $56 billion in revenue and 4 billion in cash. may the best bidder win,0.925
216,"NBC/Comcast employee Chuck Todd edited a video of a conversation with AG Barr. Todd cut this part ""it undid what was an injustice."" So Brian Roberts, net worth 1.7 billion, employs dozens of liars at NBC and MSNBC. With all the liars he employs, how can you trust any of their press releases or accounting earning statements. By the way, much of that 1.7 billion came from taking advantage of low cost immigrants from an open border. Which is why he allows or orders people like Todd to lie.",0.313
217,SELL this stock and send a message to NBC!!!!!!,0.58
218,Does this dog ever move?,0.1759
219,CMCSA going up from here,0.2012
220,"This company provides the worst services, outage 2 days already in my area, could not reach customer services at all in anyway. switching to FiOS.",-0.7029
221,Also why do I see a eps of 4.75 on Yahoo and 4.80 on another website? Am I adding something wrong?,0.2357
222,"Anderson Cooper, and Teeny Tiny Wolf Blitzer, want NBCto bring the Gilmore Girls, back to prime time.Anson Williams, jumping for joy!",0.7598
223,At what price does comcast split,0.2498
224,"I started choking from laughter when I hear Keith Jones during the islanders game, talking about how Stewart was excited to play for the Flyers. The truth is, he was going to have to play for the Russian league, but had heard horror stories about it. The Flyers got rid of Gudas and Simmonds and didn't have any physicality. The Flyers and Stewart were both desperate. Once again, the Flyers excel at paying minimum salaries. The better players don't want to come to Philly, and they have to overpay even borderline players, like Kopecny, to stay..",0.8809
225,I predict soon we will all have free Internet-then maybe these Cable companies will start lowering theirPrices.I hate the Mergers going on! Pretty soon no competition. Government would never allow Defense Companies to merge!! Bad enough some grocery stores hv merged! Just Remember Remember to VOTE BLUE no matter who!! I use to be Republican-just couldn’t anymore!! Just Remember to VOTE either way!! Your VOTE does count!!,0.8421
226,Looks like this stock is going down down down!!!,-0.3068
227,OUCH! - NFLX down 14 dollars and change AH - all due to a dwindling subscriber base....it looks like they need the Comcast X1 deal now more than ever.,-0.1522
228,"someone bought 13075 contracts or ( options on 1,307,500 shares ) for april 20 2018 37.5 calls. This is a lot of calls on comcast which never trades too many options. someone is betting with confidence that it will be higher than 37.5 or 40 by next month as the earning season reports. Comcast is earning a lot more this year compared to last year. we should hit bottom soon (time to accumulate).",0.8044
