,Recent headlines and conversations for PG,Polarity
273,"What is your opinion?Should PG bust its G stadium naming rights contract--presumably with cause--with Kraft, in light of the accusations against Kraft?If so, now, or not until the ""legal system"" has had its say?",-0.4167
274,Do you apples? How do you like them apples?,0.5688
275,"One pumped up earnings report last quarter for the Peltz battle and now back to the real deal, this great plan doesn't seem to working so well.",0.8621
276,"If the stock does not $ 100.00 a share by 12/31 vote no on executive bonuses. Maybe mgmt will get the message we are unsatisfied with their performance. And what are the large holders the State Streets, Blackrocks and Vanguards doing to maximize return. Seems all they do is buy the #$%$ this politically correct mgmt tells them.",0.9031
277,"CRAMER SAYS PG IS A 'NO TOUCH"" and over valued with a PEof 24+!!!",-0.3571
278,"Is anyone else sick and tired of hearing how P&G is "" FACING CHALLENGES.AND IS IMPLEMENTING CHANGES TO CORRECT THE CHALLENGES BUT WILL NEED MORE TIME "" This tired and worn out line for the past 10 years has gotten nothing for shareholders but a stock that has underperformed by any meaninful measure. Only a breakup of the existing behemoth can get shareholders the value they deserve.",0.1364
279,"After Jill-lette posted their woke ad, competitors Harrys, Schick, and Dollar Shave Club, who have been also making anti-masculinity ads online have deleted them....",0.211
280,OVERSOLD!!,0.194
281,"Well just another PG earnings day down of course, I said yesterday with the better dividend than usual watch out for today and i was right. Folks had PG since 72, whole family has had since 1950 and we have had bad times before but not like this! All PG board,Taylor,Moller, and i would guess 50 to 100 other managers must go now they sucker in all in shareholders as they always do, and to be honest they all look beyond stupid but.............they ALL keep ripping off PG shareholders maybe they are just tring to make GE look good, honest DO NOT BUY Dog of the DOW Pg is on its way to 15 years at the bottom",0.9739
282,Never again will buy any of their products.,0.1222
283,Been a good run to safety day. While P&G is exposed to a China slow down they have done a good job of a building a truly global supply chain so many businesses are able to minimize the impact to sales outside of Asia.,0.9332
284,Trump + Powell are the only 2 problems here ...NOT the economy !,-0.5698
285,"This has LAFLEY'S hand all over this: He sold over 100 companies of Pg over last couple of years, PG gas 13.3 billion in cash LAFLEY gave shareholder 1% div this year worst in history of PG. He ran PG down 10% last year, he made 18 million in stock and salary, he has made PG laughing stock on wall st.Funds until latest div, buy PG only for that, and now and he is still at PG Get this PG looking to BUY some new companies Lalfleys puppet TAYLOR and make no mistake he is looking for new companies to buy, and i bet the other moron Moller is looking to, you remember him I'm moller do not worry we are on the right track his favorite line, so i asked are 2 exsperts do you think we should start buying new business after Lafley sold over 100? Maybe we could ask warren to sell us back Duracell at a discount? Should we give shareholders a one time div increase? what do you 2 experts think? said we are cutting Alans lawn right now, let us think it over, well there you have wooglin3 & uslindrool will let us all know!",0.969
286,"The real story is no one sees the 804% increase in cash equivalents for the quarter over same quarter for 2019. This puts the FMV at $1,300 currently.",0.0775
287,should i sell now or wait and hope it goes back to the 90 z,0.638
288,below 100 end of week we will see,-0.2733
289,SANP is moving boys...,0.368
290,"PG is the quintessential defensive stock. As long as The Orange Clown is running things in DC it's a sure bet the PG is going to be popular. I miss ""No Drama Obama.""",0.737
291,FUCK YEAH GO DOWN MORE PLEASE,-0.243
292,Stock Invest states P&G stock has a 90% probability of holding a price between $156.15 and $166.39 at the end of the next 3 months.,0.5949
293,Insiders are selling so many shares it’s like they expect this to collapse soon,0.125
294,"Do not gamble with Procter and Gamble. Investors are fleeing consumer staples and will never return. And their products--diapers, dishwashing detergent, razors, soap, paper towels--do people even use this stuff anymore? Don't think for a second that this is a buying opportunity for a stock that is 10% down from its 52 week high 6 weeks ago. See you under $10",0.8366
295,Only stock that GREEN,0.4706
296,"PG was performing really well before Covid... at about $125 per share. Then in shot up like a rocket due to the hoarding and shortages of supplies and huge demand. Now, if the overall economy goes back to pre-Covid normal, this means that the companies whose stock prices were depressed due to pandemic will raise closer to their pre-pandemic levels. Guess what will happen to the companies whose price was lifted by pandemic ? Now, I don't think PG will fall all the way down to $12x, but somewhere between that and the high of $145 is, to me, pretty likely. What is there to keep the price above $140 once the Covid-driven crazy buying stops and the patterns return back to normal ?",0.9484
297,Breakout to 110 by next week,0.6844
298,Fantastic numbers and guidance. P&G just keeps knocking the ball out of the park. P&G is my 2nd largest holding and as things look today I am never ever selling!,0.8861
299,No brainer win tomorrow,0.4853
300,"Fall to your knees Gillette, faking numbers won’t last. Tesla tried that and look at their stock right now. You’re next tards",-0.5199
301,"Did we just see another all time high , finally?",0.4554
302,just short sell when it is over $81.00. you will make money.,-0.3737
303,Ill get in when Div hits 8%,-0.4162
304,I told you 110 next stop 115 by july.,-0.221
305,"everyone shoudl realize stockmarket about to crash. there is no safe haven. bond bubble, tech bubble, credit bubble, etc.. PG spiked because of last week sell-off, and PG is now safe haven. But if total stock etf/total us stock etf/snp500 etf crashes, PG will crash with it. ""RESET""",0.1553
306,So excited to be able to get more at a great price!!! Will buy on the way down for sure- it’s a beautiful investment for the long haul!,0.9723
307,The early 2000s are upon us again. Oil is starting to rise which will cut into PGs profit in near future. Here’s to the three Rs. The new sound is just like the old sound.,0.4246
308,All of the consumer staples group (XLP) are down near 52 week lows. I don’t know where the low is but I do know that eventually money will rotate back to the XLP group Good luck,0.8843
309,It looks like it wants to go to 48,0.3666
310,All you need to know about PG: look at who the directors are. The ex CEO of Boeing - fine. The CEO of AMEX - fine. The rest - UGH. And the ex president of Mexico? Are you kidding me. You need decent people not schlubs.,0.8839
311,Lot of CEO for the money. Buy.,0.3302
312,P&G rolls out organic tampons and menstrual pads. .....I wonder if they're gluten free too.....,0.604
313,PG is up 5.97% to $85.03,0.1818
314,"People will realize that they still beat earnings, even while their retail customers have had soft quarters. PG is a consumer staple, which is where people will take shelter as the economy turns.",0.3554
315,100 a share for a company that will earn $4.77 this year or 21x earnings for 6-7% earnings growth..Should be selling at 15x earnings,0.5099
316,BUY THE DIP BEFORE THIS ROCKETS TO 160.,0.6136
317,Opened a position yesterday amid the carnage. PE and dividend too attractive to pass up.Entry under $80. GL,0.7333
318,Old guy here who’s seen it all. . It’s sad that most of the posts here are from Millennial Robinhood kids. The market is not a video game.,-0.4272
319,"ex div 19 april!!!, nice div after some decline as well for AAA stock",0.7521
320,Vaxart Announces Positive Pre-Clinical Data for its Oral COVID-19 Vaccine Program,0.8774
321,http://www.zerohedge.com/news/2016-09-14/guess-who-colin-powell-talking-about-hes-still-dicking-bimbos-home,0.0
322,Waiting for Rustybrain to start running his mouth this morning...,0.2215
323,Cramer says BUY... BUY...BUY !!!!!,0.3331
324,Hit 135 by wed.,0.0226
325,buy more,0.1332
326,Finally may get a good entry point. Sick PE,0.3091
327,82 at close,-0.0793
328,"18 family members have had since 72, father & grandfather since 1950. as a family we hold a lot of shares and always have bought year in and year out, since 2009 not 1 share of PG as been bought and never again, we take ALL div and buy other stocks, bonds, and muni's , PG has been a dog for over 10 years plus, and has nothing to sell if you listen to the 2 morons Wogglin & ouslindrool you would think PG is as good as Appl. but think of this 1 cleans Lafleys pool, and the other mows his lawn, and i am not long or short just keep sending the div's, as a investor do not go near PG if your smart.",0.9644
