,Recent headlines and conversations for PEP,Polarity
190,"It's fun! to read other professionals' thoughts that echo what I have posted re splits:Yes, Virginia, for investors, it really does come down to a company's fundamentals!“""Mostly, the post split fundamentals of the company and investors' sentiments towards the company give direction to the stock price after the split,"" Avinash Gupta of Globe Capital added.”“Our research on 30 companies that went for stock splits during January 2001 to May 2010 show that exactly half of them moved up a year after the split while the other half witnessed a drop in price.” “""The analysis confirms that the manner of slicing does not make the cake bigger. The price performance of the share depends on the state of the market and the fundamentals of the company once the transients settle down,"" Gupta added.”Market experts believe that investors should look at the fundamentals of the company before taking a position immediately after a stock split. Avinash Nahata, head-fundamental desk, Aditya Birla Money says, ""Stock-splits have a neutral affect on the price of a stock.""”“Udit Mitra, director, research, MAPE Securities, says, ""If the fundamentals of a company remains same, there will be no impact on the value of your investment, but on the trading floor, as more floating shares are available for trading you expect market forces to determine the true price with a bigger volume. Hence, if the fundamentals are good, stock will trade up and vice versa.""”“However, the key parameter to be evaluated while investing in a company which has gone for a stock split is the valuations of the company or the underlying fundamentals.”“""It was trading at 32 times one year forward price-to-earning-ratio (P/E). The fundamentals of the company also deteriorated. Hence after the split, the stock underperformed,"" Thakkar added. Post-split, the share prices dropped around 29% to Rs 356.15 on July 25, 2006.”Enjoy!:Link I attempted to post didn't work.Simply Google ""business today are stocks splits good for shareholders"" and click on the first hit ""How investors can gain from company stock splits-Business Today.",0.9947
191,Is PepsiCo ever going to split it's shares again,0.4554
192,Hopefully this POS starts to move back up soon. Feels like ever since I bought in it's stayed stagnant while the rest of the market has moved.,0.8918
193,3.8% divi good entry for quality co,0.7801
194,"After coke deal with costa, pepsi should merge withh Starbucks. Now that would be a powerful duet. IMHO.How about Starcola or Pepsibucks.",0.7001
195,isn't it. wonderful. how you can sell charged suger water to put on a terrible super less than nothing halftime waste of TIME. enough of NFL and PEP,0.003
196,"There are no trolls or insanity here like on other stocks. It's so peaceful and quiet you could hear a soda can pop open, and options are cheap too.",0.8188
197,"How silly of Pepsi to delete a great brand just to be politically correct. Try Bobs Red Mill Organic pancake mix, (mix with milk, not water) and ditch Pearl Milling.",0.7977
198,Getting some pep in the step- back to triple digits next..,0.2602
199,Kinda woke up today. Nice to see that.,0.5884
200,"Who here thinks bubly will be success? I have my doubts. bubly has 10 mgs of sodium (I don't see bubly advertising that as healthy) vs. LaCroix is completely ""clean."" LaCroix is zero everything and still tastes better. The fitness crowd does not want salt. My money says LaCroix will win regardless of its smaller marketing budget. bubly won't be able to compete and the recent reviews says bubly can't hold a candle to LaCroix. If Pepsi was smart, they would have bought LaCroix.",0.9475
201,You’d think Pepsi would have an up day once in a while. I mean...obesity continues to rise...,0.5046
202,My kids told me to try a Pepsi FIRE. It tasted like a bourbon-and-water which had set out over night. Not bad. I think you will be pleasantly surprised by its popularity.,0.6745
203,"Stay at home = snacks & tv... Pepsi check for the first so this is one of the best stocks to buy in this market, and pays a great dividend ",0.9273
204,I have to imagine the Cheetos pop up restaurant quickly selling out all of its reservations has something to do with PEP hitting a new high.,0.7085
205,Buy uncle Ray's potato chips . They are half the price and made in the ghetto in Detroit,0.0981
206,Yea covid will halt Cheetos and sabra humus sales. Buy the dip and don’t be fooled,-0.2409
207,This pig is bloated,-0.6371
208,Bought pep in march on a whim for $113. Am so glad I did. With summer coming I see a big jump in sales . Holding long on this stock. Dividends are great!,0.9501
209,besides Pepsi. does anyone reccomend other companies for long term investments. New to trading but looking to leave money in for awhile.,0.2479
210,"What a gift this thing was under $130... Flat on some pretty solid earnings too today, possibly priced in already I guess? Bring on the 1.075 divy next quarter, I'll add it to some more shares... Long term hold for me.",0.9485
211,nice dividend yield,0.5756
212,#boycottpepsi Indra to resign....requested by BOD,0.58
213,"Pepsi has gone too far to the left and Liberal. Go to the website and one sees Indians and blacks and a clean environment attitude. Indra Nooyi has made many angry with her political comments. People have found that social media does have power since the US MSM was hiding news about Clinton and favorable stories about Trump and almost nothing about Julian Assange and Wikileaks from the people. The word DID spread about the truth and facts! Is Indra Nooyi really worth $18,600,000? Couldn't Pepsi have found a better business person? With her culture from being from India she has little is zero regard for the actual Customer Reps, warehouse people or bottlers. She is from an Upper Caste of Indian society that is very selfish and elitist.",0.9641
214,Too many shorts here I’m out,0.2196
215,"PEP just moves opposite to S&P, when S&P eventually hit 4000 PEP will be around 120 :)",0.39
216,PEP is down 5.74% to 120.39,-0.2462
217,sell stock if u want profit after short ..one more bad news came in market just now ..i sold at 138.20 ..bought yesterday at 133.95.......,-0.2112
218,Getting hit hard today. Do we go to $110?,0.0079
219,Pearl Milling?? Really? I think there needs to be some changes within the Marketing Leadership team!!,0.8171
220,"Keep selling, want it lower so I can DCA some more :-)",0.3157
221,"wait a year to collect 3% to lose 3% in 1 day, nice",-0.1002
222,sold,0.0
223,"Don’t worry about today guys, shorts and day traders attacking due to option expiry today. Also shorts will have to fork out tasty dividends in coming weeks lollllll",-0.5859
224,Sold KO and Bought Pepsi,0.0247
225,Getting no respect as usual. All they do is beat quarter after quarter,0.5414
226,Why the drop since yesterday? Any theories?,-0.2379
227,please break the channel.,0.073
228,This is why the dip:,0.2739
229,Misery loves company. PEP stock is misery and has found company in this board,-0.2321
230,"If you're long term why even post??? You'll be very sorry you didn't sell up here in a month, back to the teens very soon.",0.411
231,Markets up over 800 points and PEP down over .50 what am I missing with all the positive reports given about PEP,0.2056
232,Jobs numbers down - vets March,-0.2495
233,anyone who bought at $135 is an idiot,-0.4849
234,"Since Dec 31st, PEP's chart looks like a downhill ski slope, and appears to underperform on both red and green days. It has been a 20 point plunge over the past 2 months from the mid 148's to dipping into the 128's on Friday and closing just barely above 129. Is this just an issue of a sector rotation away from PEP's industry? If so, how does one account for the fact that KO has a much stronger looking chart during this same period of time?",0.8168
235,Sure why not let’s erase the weeks gains. Makes total sense,0.5077
236,"Please fill my order, had CD 2.8% mature the other day and another at 2.85% matures 2/15$ looking for a homecome to me, a little more down please fill it !!!!!",0.8186
237,"enjoyed the ride from 65 to today, but over valued at the moment.",0.7588
238,superbowl nearing.. we know what that means.. big snack sales for pepsico goo pepsi!!,0.5439
239,"NUMBERS not good , Boycott had not started , Next Q wil be down 7%---lays chips down 6% , SPONSORS are hated ----SLOW down---no GROWTH , when funds selll --PEP goes down -3- $ 5.00 one day---",-0.49
240,"Another Cramer ""fav"" bites the dust.",0.0894
241,There should be an SEC reg that if you have puts you cant simultaneously short on the day of expiration,0.7422
242,Wasn’t really planning on buying more.... but at 130 I couldn’t help myself. Dividend isn’t far off either.,0.8207
243,Just jumped into pep....curious... P/E ratio is half of ko. Thoughts?,-0.1597
244,"THIS COMMENT IS FOR THOSE PEOPLE THAT ARE PRAYING FOR A STOCK SPLIT.35 years ago a ""split"" was sort of important because we did not have discount brokerage similar to today, we did not have the ability to trade in the internet and most brokerage companies wanted to limit trades in blocks of 100. In todays world a split does not make sense......it does not add any additional value, your position will not be worth more, you will not see a rush of people wanting to buy the stock because it just split, I can buy one (1) share if I want to and with dividend reinvesting I can even buy fractions os a share. Earnings drive the price and most people are smart enough to know this. We should care less if it will split or not......I hope the price (based on earnings) reach $300/share. Please stop the nonsense of a split...with my luck PEP will announce a split this week and the SPLIT CULT UNINFORMED people will believe that their voodoo split science is correct...IT WILL BE MEANINGLESS!!!",0.9933
245,Thank the market for this great dip on a great company.,0.9174
246,"too bad the profit takers out today, afraid if risk factor.",0.0589
247,"Good thing I saved some cash , accumulating more hope it goes down tomorrow so I can put my paycheck into it",0.8117
248,Great earnings and great guidance! Going much higher! I'm buying a lot right now!,0.9257
249,I forgot to include in my recent post that when a split does come they also raise their dividend and that is another reason investors likes to see a split.,0.856
250,PEP reached a new 52 Week Low at 97.58,-0.0585
251,New High in 2021,0.2826
252,Any thoughts on earnings tomorrow?,0.1378
253,What's with these downgrades on poor beverage sales? Didn't Pepsi sell enough Aquafina during the hurricanes? I really don't get these analysts and their constant upgrade/downgrades!,-0.5883
