,Recent headlines and conversations for WMT,Polarity
173,dark pools will take blocks off your hands in size after hours -- problem is the hair cut is enormous --it is a no risk money machine -- you have to entire your oder before the close so they can short it or go long with it prior to the 4pm close-- instant money machine --they can't lose dump everything at the open and pocket the money --works for both long and shorts if you need to get out of a position in size and don't want to tip your hand -- government has known about dark pools for years says nothing about them,0.4676
174,Phillip Adams was a pretty good football player. I wonder why he,0.8552
175,JNJ raised the div. this week to 1.06. That is more than a 2.5% rate. You can't get that many places.,0.2094
176,short it,-0.4807
177,"Never forget, they stole this election",-0.163
178,"I will be completely shocked and wrong if this was not at least down to 125 today, sad thing is with hyper inflation and bond rates up - it really is mystery how low every stock can go and they are preparing for shortage in things with trying to even make things themselves at phase 0",-0.8572
179,Southwest Airlines coming out now too against restricting voting rights.,-0.3805
180,SHEP.HERE...................... I think we will get to keep our 140 today. I love for the market to be up on Friday. Then you get to look at a nice return all weekend.,0.871
181,"He once said that there were three signs of old age. The first was loss of memory, and he couldn't remember the other two.",-0.2157
182,"SHEP...............we don’t care what you think about Amazon. Post it on their mb, not here.",0.7658
183,"Great job! Now you have NOTHING! lol Grocery giant Kroger plans to close two stores in Seattle after the city passed a $4-an-hour hazard pay mandate for grocery workers, drawing sharp rebukes from local officials and worker advocates who point to the company’s booming sales as the pandemic continues to claim more than 2,000 lives a day.“Unfortunately, Seattle City Council didn’t consider that grocery stores — even in a pandemic — operate on razor-thin profit margins in a very competitive landscape,” the company said in a statement. “When you factor in the increased costs of operating during covid-19, coupled with consistent financial losses at these two locations, and this new extra pay mandate, it becomes impossible to operate a financially sustainable business.”",0.936
184,"With the stepped up basis going away. you might as well not have any long term gains because even if you never sell, your heirs will be forced to pay the taxes. The Democrats want to give away what you have worked hard to put away for the future.",0.7656
185,https://www.washingtonpost.com/climate-environment/2019/06/08/white-house-blocked-intelligence-aides-written-testimony-saying-human-caused-climate-change-could-be-possibly-catastrophic/?fbclid=IwAR0KGRloBac6pAacw-8VXY2BsH4WuyzOAfvxuf6ywuUbu2hDzo-LtkQC8AI&utm_term=.2864c68aad8dWhite House blocked intelligence agency’s written testimony calling climate change ‘possibly catastrophic’Intelligence and intelligent thoughts haven't been in the White House for over 2 years,0.4852
186,QAnon; Bone spurs will rise to power on March 4.,0.498
187,AFTER HOURS gains please ,0.4087
188,"Leadership at border would 'help everybody understand' problems, how to fix them: Former acting ICE directorFormer acting ICE director Ron Vitiello argues that leadership engagement at the border would help people understand how the crisis started, and how to fix it.Border Patrol agents stopped a trailer at a border checkpoint in Texas and discovered 18 adults crammed in a space under the boards and two children stuffed into a side panel.",0.7256
189,The US needs to outlaw Cryptocurrency. That enables stuff like the pipeline hostage case.,0.8731
190,"Folks, it’s true. Every dollar of Infrastructure spending can generate between 5 percent and 25 percent in economic returns. It’s an Investment.",0.6416
191,The President will be speaking soon on the Mid-East.,-0.2394
192,"“In recognition of his pulling US troops from the Syrian border, I hereby bestow on Donald Trump this highest honor,” Vladimir Putin said.",0.3451
193,"https://www.latimes.com/politics/la-na-pol-trump-obamacare-lawsuit-20190708-story.htmlTrump officials tell one court Obamacare is failing and another it’s thrivingYes our incompentant, self proclaimed genius, doesn't even know which way is up or down",0.1013
194,"30 million people will get the $1,400 checks, many more will get the child credit, 75% of them will spend it at Walmart, it will raise sales by the Billions, look out this thing is going to $200",0.773
195,"Isn’t it funny that not ONE democrat here has mentioned this: ""The time has come. The Governor must resign,"" tweeted Kathleen Rice (D-NY 4th District)",0.7472
196,"The percent of White people who have received at least one COVID-19 vaccine dose (40%) was roughly 1.5 times higher than the rate for Black (27%) and 1.4 times higher than the rate for Hispanic people (29%) as of May 10, 2021.",0.9094
197,"That spike from Walmart stock should be from the employees buying shares today. Today we get paid, it automatically invest back to Walmart. ",0.8881
198,"Joe is right, it’s not a crisis, it’s a TOTAL DISASTER !!!The number of unaccompanied migrant minors under the care of U.S. Health and Human Services has increased to about 10,500, according an HHS official and document obtained by ABC News, which is different than the number of unaccompanied minors in Border Patrol custody.",0.7858
199,Shorts getting burnt today. WMT long and strong!,0.7488
200,"I figure WMT and the Fang stocks will trade up today. They were all down yesterday and the beaten down financials were up, but today I think they will go up today because everyone knows they will do well during the pandemic. Plus those that reported good numbers today will be up. All the Dow stocks pay dividends and they are sought by people wanting income.",0.9346
201,This stock is rightfully going to return to its historical multiple of 17-18.That will once again put the stock price well under $100 where it belongs.,0.6122
202,"Seriously pepi and fritz, listen to yourselves......”.take care of me take care of me! I take no personal responsibility for myself “",0.7169
203,There is little doubt anymore that china created this deadly virus as a biological weapon and then intentionally unleashed it upon the world.The big question is now is the victimized world going to do anything about it or just allow china to repeat their heinous crime against humanity in the future?,-0.2536
