,Recent headlines and conversations for HD,Polarity
241,"It is truly disturbing how Red White and Blue Trumpers will go to the mat to support The Home Depot, all the while knowing that this company openly and brazenly uses illegals to install its products.All you have in this life is your word and your ethics. It really doesn't matter much the amount of fiat currency that you have stashed away when you inevitably perish.Trumper below lashed out at me for using, ""denigrating, hate filled,"" terms to describe this company. Well, sometimes it takes shocking ideas to awake the complacent, ""investors,"" out of their reverie.Aforementioned Trumper no doubt attended several classes in ethics and morality during his pursuit of a military officers' commission. Apparently, none of it stuck.",0.0119
242,Looking for opinions on whether the dividend will likely get cut due to this?,-0.2134
243,Clowns sell the issue $10+ in one random day and then it hardly moves on option expiration day? Are you investors or just gamblers?,0.6674
244,Stock hit a high on October 21 (238.99) so a little selloff before earnings release is not unusual. If the company delivers $250 by eoy would be easily feasible.,0.8348
245,Splits alow small fry to invest in great stocks. spreads the wealth in the best way possible...ownership!,0.911
246,We had a big seller yesterday unloading a sizable position. Hopefully he is gone and we can start a uptrend again,0.8452
247,Housing start hit 12 year high. HD is going to 250.,0.3146
248,"A new Kohler toilet for 169 bucks plus tax??The Wifey finally put her foot down and said she was going to call a plumber to put a new one in. The guy wanted 600 bucks to put one in.....YIKES!!!!.....so i finally went to HD and picked one up. About 30 minutes later it worked SWEET. Sometimes you just have to take orders. It's not easy and you certainly don't do it all the time, but Life is much more pleasant when you do....",0.9641
249,It will be a quick bounce back. Everyone is just taking their profit first from what happened yesterday. Earnings coming out and it will be up up and away.,0.8331
250,HD bull run is over,0.084
251,"This was $310 this morning. Oddball move up since the Magical ""10 am"" Hour, shot straight up on short covering Algo. I would wait for a pullback to $275",0.7087
252,Just a reminder that tomorrow is the Ex-Dividend Date - so you must buy today to receive the $1.50 quarterly dividend that's payable on Dec 17.,0.7351
253,October smackdown of HD was WAY overdonelots of building going on across the US --- Houston is STILL recovering from harvey and Ca is just getting around to replacing all the homes from the fires + a ton of new work on the Fla Gulf coast --- interest rates are a bargain today compared to a year or two out as the economy continues to grow,0.8576
254,HD is way undervalued!,-0.0856
255,time to trim on bad rail earnings?,-0.5617
256,What just happened?,0.1404
257,been a weird week for this stock,0.085
258,"Good solid companies are really getting pounded; not buying yet as the MSM fear mongering continued drama continues! But to those investors with cash and a willingness to buy fundamentally solid companies will be rewarded a year or less from now. Right now we have mindless (algo driven) selling into a vacuum BUT sooner or later the vacuum bag will be filled up with dirt cheap, rock bottom priced companies!!!!",0.9604
259,HD does it again amazing strong company,0.8159
260,Huge buying opportunity!!!,0.795
261,Just got a nice tip from (https:// www.tradenow.xyz),0.4908
262,"And on the back of Amazon, Chinese products thrive and drive American industry out of work. I'm far from political but this is obvious if you shop on Amazon.",0.8573
263,Good luck tomorrow my fellow longs,0.8675
264,SCAM,-0.5719
265,Ouch!,-0.5801
266,"Garbage stock, nothing like holding this since the 90’s only to make 10 grand.",0.8647
267,"Well, index futures are up at the moment.",0.2994
268,Lot of rebuilding gonna be going on after these riots.,-0.5268
269,Lets go Depot. Let’s breakout of this range,0.6275
270,$450 by 2023,0.0141
271,HD truck used in NYC attack today...major lawsuits coming for HD.,-0.461
272,"Spectrum brands tanking huge !they sell a lot of things at home depot !and Ford reported 7% drop in sales tanking...HD on deck...Spectrum Brands Holdings, Inc. (SPB)NYSE - Nasdaq Real Time Price. Currency in USD133.88-9.36 (-6.53%)As of 10:16AM EDT. Market open.https://finance.yahoo.com/news/spectrum-brands-misses-street-2q-103721181.html",0.7482
273,I see 190 knocking on the door tomorrow morning.,-0.0705
274,R POOR R ADMITS THAT HE IS OLD AND HAS TO TRADE. I CAN SIT BACK WITH MY BLUE CHIP STOCKS WATCH THE DIVIDENDS INCREASE YEARLY AND RELAX. LIKE I TOLD A FELLOW LONG IN HD THE DIVI SHOULD BE AROUND 11 DOLLARS IN 7YRS IMO. AS FOR R THE STOCKS HE TRADES CUTS THEIR DIVIDENDS....LOL,0.9857
275,Looks like this will be well over 300 by next week.,0.4669
276,R I have 30 times your wealth and don't get scared out of winners by P ANTS!!...LOL a drop I add more. Long term trend is up. Funny how u never mention low interest rates will benefit HD.,0.9653
277,"It should be illegal on Wall Street, to makes hedges on coronavirus. I can take pretty much, make that activity illegal.",-0.3049
278,WAY OVERPRICE AND MANIPULATED,-0.6706
279,And would not be should would be in my 1st post,0.2544
280,why 26x earnings?,0.1231
281,250 A COMING IMO. SEARS AND KMART CLOSING MORE STORES. MORE BUSINESS FOR THE 800LB GORILLA HD!,0.7701
282,HD UP 3% looking for 3%,0.3625
283,Why is it selling?,0.0202
284,"Earnings will be huge for LOVE on Wednesday. Google trends and alexa site rankings at all time high. Stock has 30% of float short and could see monster squeeze. BBY partnership will catapult web sales further, expect more details on partnership at earnings",0.9628
285,"Not moving as fast as it should, however it’s moving! 280 by next couple of weeks would b good!",0.853
286,248 tomortow,0.0
287,"HD is getting punished for giving its workers a raise, same effect happened to other companies who have done the same. I see this as a positive since it builds trust and loyalty with store personnel who interact directly with customers. HD’s earnings report crushed sales and profit estimates – great opportunity to take advantage of the street’s overreaction!",0.974
288,Made well over 100.000 on this stock.,0.4249
289,Muting Chart-Analyst. Trash.,-0.1915
290,Going to 200 today,0.0737
291,"Democrat Party of Losers now.Under incompetent President Obama, Democrats lost 986 state legislature seats, 12 governors, 69 House seats, 13 Senate seats. Oh, Democrats lost the White House too.",-0.8701
292,Split has to be voted on.,0.1747
293,Home Depot is going to get slaughtered when next quarter numbers are revealed. Ordering things for in-store pickup is a joke .... takes 2 days to put together a simple order. People are going elsewhere. If HD does not increase staffing and turn orders around they are going to have a beyond brutal quarter.,0.6854
294,Premarket volume is light. No worry.,-0.4326
295,Short this till 200$ easy money,-0.0524
296,it,0.0086
297,Come on 250,0.0541
298,"Two month wait time for carpet installations in Denver. No, it's not an increase in business. It's what happens when you pay people practically nothing to perform a complex job. Nice going, Hoe Moe. You destroyed the labor pricing and now it's coming back to haunt you. I guess from here on out, customers get even worse service. Shortage of installers is so bad in Denver that some stores are cutting way back on how much carpet they sell.",-0.7924
299,SHEP wants to finance 1 share of HD with his mom.... Get a job SHEP...,0.3915
300,On the way to $160.00 by earnings date May (16th). Stay long through the summer and prosper. Best in class for a rocky market. Everybody loves to fix up their home.. inside and out. Go HD !!!!!,0.9493
301,"My HD store is a ghost town. Only 1 register open and self checkout closed off. With the shelter in place, they are shutdown.",-0.6493
