,Recent headlines and conversations for ADBE,Polarity
271,MOST UNDERVALUED and UNDERBOUGHT stocks in the Universe: $AMZN $NVDA $AMD $SQ $SHOP $MU $AMAT $ROKU $TWLO $CRM $TWTR $ADBE $PYPL $NFLX These BARGAINS must RISE by 60-90%.,-0.1768
272,Adobe's earnings appear to be solid and predictable. Will they initiate a dividend soon?,0.1967
273,OK fine: Stock won't move...ER coming out AH...I'm doubling down.,0.4463
274,"Dear investors, do you have any idea why I cannot add to my portfolio ADBE200117P00250000 contract? It doesn't appear on the lookup field although the contract actually exists on other platforms. Thanks!",0.5438
275,Take some profits and buy back ~ 264.,0.6362
276,Why down?,-0.2037
277,"It’s aall about the stock making HIGHER HIGHS SND LOWER LOWS...And that what $AMD ‘s chart displays !Aside from $AMD gaining traction in many areas and paying Down debt at quite a nice pace ... all looks good with $AMD moving FWD, into the MARCH CONF. and it’s upcoming EPS... It reminds me of buying $ADBE around 290$ - SUMMER 2019- , a month prior to its EPS 2019, which were disappoint... watched my CALL options hit 0.20$ , when $ADBE , was around 270$....around THANKSGIVING 2019.... And... with a chart of higher highs n lower lows and momentum building ... just 3 months $ADBE is now at all time highs, after a return to positive EPS and guidance and positive catalysts going FWD...GTLA GOING FWD WITH $AMD",0.981
278,"If Adobe really gets hit hard tomorrow, I simply buy more, but I doubt it will....",-0.4473
279,"if adbe drops below 450 , I will add some",0.0486
280,"Adobe Systems currently had an average rating of “Buy” and an average price target of $114.53, but after today's presentation, I believe that number will be ratcheting up another 10-15%.Today's earnings release was expected to bring us good news and it did, but they beat the estimates across the board. The subscription based cloud business model is going to put this stock into the ranks of Amazon and Google. You'd have to be crazy to be short this one IMO.",0.8961
281,There is a content war brewing by giants that will only get bigger the next 5-10 years. ADBE is right in the sweet spot to profit. ADBE one of my largest holdings and buying monthly!,0.5335
282,"Its pricd to move $10 tomorrow, I'd be happy it it keeps within that range.",0.6236
283,Getting a little top heavy?,-0.1154
284,ADBE is down 7.28% to 289.10,-0.2462
285,"Andrew Left is all over Bitcoin now the bubble is on the verge of bursting, soon to be something for the wall street history books.",-0.0687
286,What will earnings report bring? More pain?,-0.4518
287,Morgan Stanley raises pt to 375 from 366 maintains overweight,-0.1265
288,Adbe Titanic heading towards the iceberg,-0.5347
289,HAD TO SHORT TODAY @ 495 X 500 SHARES. BIG MISS COMING WILL SEE 425 OR LOWER TODAY. ENJOY THE FALL LIKE I WILL.,-0.4084
290,"**ALERT**So ADBE actually MISSED earning and then **ADJUSTED** the number up to Handily BEAT estimates ! Why not make it 3.00 per share or 5.00 ?So the headlines say ADOBE CRUSHED earnings !What a joke Red Robin Grill posted a loss then adjusted earnings up to beat estimates !This is CALLED NON-GAAP accounting and is why the stock is only up 5 dollars ah not 20...So it was nice they beat on revenues but the pe ratio of this stock is extremely high so be careful about buying into the hype it may just sit there and pull back tomorrow depending on forward. guidance..he San Jose, California-based company said it had profit of ***75** cents per share. Earnings, adjusted for one-time gains and costs, were $1.02 per share.The results exceeded Wall Street expectations. The average estimate of 12 analysts surveyed by Zacks Investment Research was for earnings of 94 cents per share.",0.9889
291,It seems that the market doesn't like the results.,-0.3106
292,Why is it down after hour? they beat estimated earning.... i bet someone is trying to manipulate the afterhour trading session... up huge tomorrow,0.4601
293,"Why has ADBE fallen the last few months? I would think COVID-19 would mean *more* ADBE users would work from home, increasing the use of the software, storage, and licences. At the very least, I would think ADBE would not be adversely affected by people not going to the office, since its a SaaS model and people organisations will still be paying to access the service.Any thoughts on why the company has been dropping this year? Thanks",0.7592
294,Blowout earnings. Futures are showing 275 after earnings. Crm exploded when they beat and this will go parabolic upwards after earnings tonight.,0.7221
295,ADBE is up 5.59% to $216.62,0.1818
296,"From Louis Navallier -The company still has solid forecasted earnings and sales growth. For the first quarter, the analyst community is looking for 22.5% year-over-year earnings growth and 21.6% year-over-year sales growth. But I’m concerned with the overall drop off institutional buying pressure, as evidenced by its D Quantitative rating and overall D-rating in Portfolio Grader. So, I recommend that we sell ADBE today.If you bought ADBE when we added it to the High-Growth Investments Buy List in May 2018, you’ll sell the stock for about a 100% gain. Sell ADBE.",0.9642
297,RALF REMINDS ME OF FAKE RUSSIAN BOTS $AMD $AMZN $AAPL $NVDA $SQ $SHOP $TWLO $BA $CRM $MU $ROKU $ADBE $PYPL $GOOG $MSFT $NKE $TXN $CSCO!!! US Stock prices HAVE JUST STARTED TO RUN! DO NOT SELL US STOCKS IN THIS PANIC Market is EXTREMELY UNDERVALUED and OVERBOUGHT!!! REMEMBER 2000 and 2008! Buyers will GET DESTROYED!,-0.6377
298,What's going on today,0.1053
299,How many times can you beat expectations and have it be a surprise?,0.5391
300,"Dear Shantanu Narayen, We are not here to hear you wax poetic regarding future positioning. Every single person on this board is here because we own ADBE and you have not even given a casual nod to the shareholder. If you have no dividend to give, then the only thing to give is share price increase. If you cant engineer that, people are confused and they wonder why they are here. Well, at least I do.",0.9199
301,Adobe reached an all time high at 425.08,0.2959
302,"ADBE is toppy for now, gonna move some money to IQ rocket",-0.0572
303,I have to believe that this is a bubble... Bearish Gains at best... Wall St. did something similar before the October 1929 event... Institutions pooled funds and focused in on specific companies that had the trust of the public to create an illusion of stability... information is just that... do what you must.,0.8407
304,is conference call started ????? Some one please post comment,0.8637
305,ADBE is severely undervalued. Could easily be 4-500 within 12 months.,-0.1328
306,"Adobe posted its annual report, hence the pop. http://www.conferencecalltranscripts.org/Q/summary/?id=4509579",0.5326
307,it's time to move from adobe stock...they enter in a new era with slow growth !,0.2223
308,Greed kills!!!,-0.795
309,what are the possibilities of Adobe buying 3d or dm for 2021.,0.2555
310,300-325 manana,-0.3174
311,Adobe reached an all time high at 391.00,0.2959
312,"Just added some moreThat is why I had cash on the sidelines, and I still have more cash, so please, keep going down for another week or so",0.4616
313,"Cloudflare: Be Patient https://seekingalpha.com/article/4292518?source=ansh $NET, $ADBE, $AKAM, $AMZN, $FB, $GOOGL, $IBM",0.2594
314,And it’s a blowout.. good luck shorts,0.7447
315,is it absolutely safe to buy now. I sold this am at the bell,0.537
316,"Adobe is great company, very rewarding for investors, but look at Luckin coffee of China, market cap only 1 billion, Adobe market cap 236 billion, Luckin has over 6000 coffee shops like Starbucks, has 700 million in cash, new management, new auditors , profitable at store level Benzinga and Motely fool like it, do your own due diligence, potential for Hugh profit.",0.9562
317,very nice..$$$ tommorow,-0.1196
318,Love ADBE,0.6369
319,Sell before earning report out......it bad and will crash 10%,-0.6689
320,SHORT SQUEEZE!!!!,-0.6513
321,How much money has Trump paid to cover up his dirty deeds???https://www.huffingtonpost.com/lisa-bloom/why-the-new-child-rape-ca_b_10619944.html,-0.4518
322,SP holding up well. CEO will be talking up the company during Cramers show. 255 at the open.. Good luck longs!,0.919
323,"The only thing that can fix this is people stop buying ADBE options. I have no idea why people think they can make money buying options in stocks like ADBE that are so heavily institutionally owned, the MMs can manipulate the price to wipe calls keep your money and their stock and then do it all over again each step up price ladder.",0.6443
324,Garbage garbage garbage. Deleting my photoshop,-0.2549
325,"Adjusted EPS $1.90, bloodbath for PUT holders. Margin CALLS coming your way shorts!",0.243
326,"I am feeling very bullish about ADBE for this upcoming Earnings Report. Planning to go long with a big chunk of capital, sometime tomorrow before market close. This is a profitable tech company that is fairly valued. Moreover, it is one of the oldest and most famous internet technology companies. It has a real legacy and a stellar reputation in the industry. On top of that, it has a stellar earnings history: Examine the past THIRTEEN earnings releases. Do you know how many times they beat the consensus on Revenue?? All 13 reports! And what about EPS?? They beat the consensus estimate 12 out of 13. Very few companies of any kind, let alone technology which is one of the most volatile, have this type of earnings record. Interestingly, the stock does NOT seem to do that well right after earnings releases, at least not in the past, even when they beat consensus, as they always seem to do. But...I see this company firing on all cylinders, I think the report will be very good and the stock will pop up in price. Maybe not a 10%+ mover, but downside risk is minimal, IMO. Do your own Due Diligence, but I see this baby looking good! :-)",0.9893
327,Probably 220 next 3 months! Go Adobe!,-0.1491
328,Joe Terranova claimed he was selling Adobe on CNBC today. That should be a green light to go ahead and buy the stock! This guy can barely complete and intelligible sentence let alone make investment decisions.,0.9239
329,"$GNUS TRAIN  is leaving in 5 minutes!! Going to $13.00 Monday Kartoon Channel- Amazon, Apple, ROKU, Matell, Walmart! This is big!!!$IZEA $MVIS $BBRW $OZSC $ADBE $QDEL $ALGN",0.776
330,Adobe goes into hurricane mode!!,0.2048
331,"Sell your PUTS, big rally coming soon!",0.2201
332,Did they beat!?,0.1173
333,earnings release is tomorrow before market open,0.1257
