,Recent headlines and conversations for KHC,Polarity
225,"CHASERS WILL BURN IN THIS STOCK BUBBLE!The US Stocks are EXTREMELY OVERVALUED and OVERBOUGHT!SELL ALL US Stocks in this TULIP MANIA BUBBLE! The Valuations are ABSURD and IMPOSSIBLE TO JUSTIFY!INFLATION IS SKYROCKETING as the FED continues to PUMP the Price of everything, stocks, oil, gold, home, land, commodities, utilities, food prices and everything!The World Economy is Collapsing, people are starving, but the US Market Makers are too busy in printing money and PUMPING the Stock prices Artificially to make insiders trillionaire without working!Enjoy Free Capital Gains in the US Stock Market while the Corporate Revenues are tanking and the Economy is Collapsing! US Stock Market is a “GET QUICK RICH” Scheme!Dow Jones Industrial Average (^DJI) was 17,000 in 2016, with better economic fundamentals and higher corporate earnings. However, thanks to the Collapsing Economy, Coronavirus Pandemic, Tanking Corporate revenues and earnings, Skyrocketing unemployment, Trade Wars, Record INFLATION levels, and Heavy Stock Dilutions, Dow Jones Industrial Average (^DJI) BUBBLE has almost Doubled! S&P 500 (^GSPC) was at 1600.00 with better fundamentals and higher corporate earnings in 2016. Now it is sitting at ABSURD 3800.00 with TERRIBLE Fundamentals, Collapsing Economy, HEAVIER Corporate and National Debt and way lower corporate revenues and earnings!The World Countries are refusing to accept the US Dollar as international reserve currency due to the HEAVY Dollar PRINTING!US Stocks are INSANELY OVERVALUED and OVERBOUGHT! US Stock Market is a MEGA BUBBLE right now!!!https://edition.cnn.com/2020/05/01/investing/stock-market-recession-coronavirus/index.html$AMD $NVDA $AMZN $AAPL $SQ $SHOP $SNAP $TWLO $CRM $ROKU $ADBE $DB $BAC $JPM $MS $GS $TWTR $TSLA $IBM $INTC $MSFT $GOOG $LMT $BA $TXN $NXPI $LRCX $NKE $DIS $EBAY $X $MA $V $S $T $F $GM $NFLX $CSCO $CAT $MMM $SBUX $TGT $WMT $ATVI $EA $TTWO $MCD $AVGO $JNJ $BIDU $BZUN $BABA $MU $AMAT $QCOM $WFC $BBBY $PFE $GE $WDC $BLK $KO $UA $ABBV $GILD $BB $ORCL $RH $KEM $IQ $GRPN $PYPL $MA $MOMO $JD $WBA $CVS $FB $W $BBY $SKX $FL $EFX $ETSY $W $UNH $SAP $GPRO $KHC $DPZ $PEP $LYFT $UBER $BYND $ZM $OLED $XOM $CVX $DAL $UAL $AAL $LUV $SAVE $AXP $SPCE $NCLH $CCL $NKLA $NIO $ZM $XPEV $QS",-0.9898
226,It sounds like Carl is disappointed in his short positions. It’s not too late as this robust economy is just getting started!!! ,-0.5124
227,1980s Coke all over again. Rare opportunity to load up the buckets,0.7298
228,Dividend rate at 4.11% or 92% higher than the 30 year bond is nothing to snear at. This could easily be a $50 + dollar stock within the year. It's even selling below book value and substantially below enterprise value. Let's not forget that Kraft is the fifth-largest stock holding of Warren Buffett’s portfolio accounting for 4.18% of the overall portfolio.,0.8525
229,wow....$35 billion in market cap wiped out in a year.,-0.4755
230,Am I the only one here that is seeing this company actually making money?,0.273
231,"Ge comparison is perfectly relatable. KHC has $31 billion in debt. it is expected with lower profits to increase to almost a 5x leveraged position. For any company, that would be drowning in debt. for a company who growth is flat or declining, this is disastrous. There is no positive way to spin that much debt. They should eliminate the dividend completely and focus on bringing down the debt and revamping the brands. Just like Ge they will keep falling until they really tackle this debt. If you think it's not a problem, you dont know much about balance sheets.",0.1881
232,The great picks don’t drop right in your lap every week unless you have the right access. The only place I know that gives winning access is (http://Fairstox.com). Get your access now.,0.7437
233,congrats to all the mid 20s buyers !,0.5385
234,#$%$.,0.0
235,Why is this down. Nothing more defensive than this..,0.0166
236,No way the stock should be getting punished like this.,-0.1804
237,I'm buying,0.2731
238,Even worse sec investigation over accounting. Double Yikes,-0.6807
239,"Dam, miss the sell point at 30.38. This is the fifth time already.",-0.0094
240,"Exit 950 of the 1000 shares I purchased this morning with an average price of $26.52. Made cash and transferred 50 risk free shares to long term brokerage account. Thanks Mr. Market, for the risk free gains.",0.9301
241,We hit bottom. It’s only up for the foreseeable future ,0.1551
242,Buffet is going to buy today. It matches his usual strategy and he is drowning in cash right now. This is a buy at open.,0.5145
243,"Someone is trying to manipulate, by dropping bids of 100.",-0.1509
244,Suffer through this too shall rise,-0.5408
245,"Soros sold his shares today. Nice quarterly div coming up, though.",0.7539
246,Thank you urmoney webr and all other naysayers for always being WRONG,-0.0097
247,To prouve my point that people are positive... Look all the insiders transactions from Heinz officers... Do you see many sell...https://www.nasdaq.com/symbol/khc/insider-trades,0.0657
248,Buffet could add to his stake to the tune of $1.5 billion 1.5% of his $100 billion Berkshire has to play with at the very least dollar cost average the position,0.7156
249,LOL From 97 to 32. Just terrible.,0.2664
250,those who were long will probably have to eat Kraft dinner for a while,0.6481
251,My target cannot stock Oscar Meyers fast enough.. it’s sold out within 8hrs after truck offloads,0.2572
252,Lets not forget that almost all of the analysts had this as a STRONG BUY. Lesson learned not to listen to them...,0.7475
253,merry Christmas peace and prosperity,0.8778
254,"Yesterday Krupa Global Investors (activist) wants Kraft to call a special shareholders meeting. Also, Look up their letter in September, 2018. At that time they they owned a substantial amount of stock in Khc.",0.8665
255,"Hurry SELL, SELL ,SELL and I just might get another 7% dividend only need 2 more days like today so SELL , because they missed by 3 cent and are going out of business LOL, Maybe it's down so big because Warren Buffett is selling all his shares of Craft LOL just maybe",0.9749
256,Bought another 1 million usd on this. Keep on buying.,0.4432
257,Share price is about equal to it's total debt.,0.0712
258,going up. holdem,0.1862
259,Kraft Heinz is up 4.91% to 37.10,0.1818
260,Today was the low of the century… So don’t think it’s going any lower.,-0.4472
261,put order for 28.30 . just got the $400 dividend.,0.5677
262,is the pain going to stop today,-0.6456
263,Since the sale of over 25 Millions shares by 3G Capital on Sep 16 resulted in KHC stock closing UP for the day the sale had to be to a MAJOR buyer ( an international Beer Company based in Brazil ? or even Berkshire H) .Yes; for every seller there must be a buyer or the stock would sink. The book value is around $40+ .Just be patient ! If you are worried about the dividend buy one share of IAE for every share of KHC and fog_gedabout it.,0.8973
264,Clearly into the gap now..need to work back to 47$ to fill the gap..a couple more quarters like this and they could juice the dividend a little,0.7511
265,"PB 0,8!!! Profit and dividend. It will turn finally.",0.5594
266,"The dividend is is gonna slap us SILLY in May!! Will plow it back into this baby. REtained earnings will be used to pay down debt, maybe a brand sale too.. credit rating revised up later this year too",0.8051
267,Buffett is buying millions of shares. At this rate we will easily clip $40 in the next ten trading days. ,0.8035
268,PEP posting excellent results today. Hope KHC will do the same !,0.7839
269,"doesnt matter, hedge funds with seeking alpha do it all the time with $2 biotechs why not kraft? sec wont do anything. oh well i made money and shareholders made money. and these ppl made a boat load.",0.7022
270,i think i will buy more in the ah market.,0.2446
271,The problem here has nothing to do with KHC. Check out Kelloggs and the others. The whole sector is being hammered by increased costs. It wont last forever. These are products people buy everyday. Look at it as a buying opportunity for the LONG TERM because when costs come down then the bottomline will come back up for not just Kraft but the whole sector.,0.7185
272,"Great co. Planters , Philadelphia, Mac and cheese, Velveeta. All comfort foods. Worth $45https://www.myfoodandfamily.com/brands",0.8625
273,So I guess Warren and Charlie are buying :-),0.5887
274,"Yeah, the stock won’t do well until they start making food that people in the 21st century want to eat. Unfortunately, a large chunk of cost cutting was laying off product development people. I’ve seen no sign that management recognizes this.",0.3989
275,Forming a bottom,-0.2097
276,BUFFETT IS ON CNBC NEXT MONDAY MORNING FROM 6-9. WE MAY GET MORE INSIGHT BY THEN AS I AM SURE HE WILL BE ASKED ABOUT KHC. I STILL LOOK FOR BUFFETT TO TAKE KHC PRIVATE !!!! BUT.... AT WHAT NUMBER !!!!,0.9746
277,Buffet is sitting on 100 Billion cash that he has been looking to put to work. Don't press your shorts over the weekend.,0.0181
278,motley fool says can't sell brands..after they sold two brands ror a billion and a half..fake news,0.2004
279,Long vacation for CEO coming,0.5914
280,"This thing has been stagnant for 3 months, at what point is it low risk, high reward?",0.163
281,"Went out to Walmart to pick up some goodies and picked up a bottle of Walmart brand ""honey mustard"" for 99 cents. I looked at the same sized bottle of Kraft for $2 and change and laughed.",0.919
282,KHC reminds me of PG . PG went down to 70's because of bs from fake news and now trades at 100 .,-0.5218
283,"""Whoops! I did it again!"" says Warren Buffett. Seriously, there is only one reason to buy a ketchup company that I can think of: If FDA were to declare ketchup a vegetable again. But this is not likely to happen under this president: He likes mayo more than ketchup.",0.8982
284,Ouch!,-0.5801
285,should see breakout of 42 level next week,0.7932
286,I wonder how many shares Goldy picked up today,0.5067
287,"Berkshire owns 325,442,152 common shares of KHC and no preferred shares according to SEC filings",0.7755
288,"Those ANALysts scared me into selling my entire SNAP position at the bottom under $6 and see where it is today; they are trend followers which is why the rectal sphincter is part of their profession. They are contrary indicators. The book value is over $42. Since I own a big position ( at a huge loss ) and since Uncle Warren is still holding ( I hope) , like Peter Lynch of ( Magellan fame) I toured the aisles at Sam's Warehouse club and Walmart yesterday and was surprised to see rejuvenation of the brands. Two examples: the Mayonnaise bottles have a nice new label which emphasizes "" Made with Eggs from Free standing chickens"". The popular cream cheese labels now emphasize that it is fully natural etc. So long as the Brazilian mafia running the company do not reduce the dividends I feel KHC is on the mend. No guarantees. In the mean time buy one NRDBY share for each KHC share you won and collect the 12 pct dividend. Happy weekend for those like me in deep kaka.",0.9917
289,Buffett is not selling. Maybe he is buying.,0.678
290,Hey Bry. I’m waiting until we retake $28 before I jump in. No harm in waiting.,-0.0735
291,"""Trading Central,"" reputed ratings firm, calling KHC a hold today, moving up from Sell.",0.8335
292,Why is this negative today when they exceeded earnings?,-0.3642
293,"It doesn't make sense to spend $400 million on advertising products that people have known about for a generation.Paying $400 million to sports players and paying dirt wages to the workers.Makes me sick and I am now in KHC 3500 shares.I am a nobody, but I hope that KHC management and Warren see that $400 million is a waste of money.Over 10 years that is $4 billion.Dividends drop, sports players make millions to catch a football or bounce a ball.Home much ketchup do they need to sell for each basketball bounce?",0.6596
