,Recent headlines and conversations for PCG,Polarity
160,PG is widely held in MANY pension funds.. Shareholders will be back to 30-40 a share by year-end!,0.1065
161,After BK it's worth .03 Go PCGQ,-0.1976
162,"Calfire issues Zogg fire reportMaybe the sell-off was due to this. PCG has insurance to cover the Zogg Fire. I am predicting tomorrow or the share price goes up.Contact between PG&E Corp. power lines and a pine tree sparked the Zogg Fire that killed four people and torched about 56,000 acres in Northern California in September, state investigators said.The California Department of Forestry and Fire Protection has forwarded its investigative report on the blaze to the Shasta County District Attorney’s Office, the agency known as Cal Fire said in a press release Monday. The fire burned for two weeks in the Sierra Nevada mountains after starting Sept. 27, destroying 204 structures before it was brought under control.PG&E said it fully cooperated with Cal Fire’s investigation and looks forward to reviewing the report and evidence collected when allowed to do so. California’s largest utility remains focused on mitigation efforts to prevent future wildfires, it said in a statement.The company said in December it expected to take a $275 million pretax charge in connection with the fire. PG&E filed for Chapter 11 bankruptcy protection in 2019 after its equipment was blamed for a string of deadly fires, including the Camp Fire that killed 85 people.PG&E renewed its liability insurance coverage for wildfire events in July 2020 for $867.5 million, the company said in a December filing. The company expects much of the Zogg Fire charge to be covered by insurance.",-0.9498
163,So the SEC openned an investigation on March 20 and no one at the company felt the need to disclose this? Not even on the earnings call THIS MORNING some 6 weeks later?,0.5164
164,"Ok Longs & Shorts; Let's step back & think for a moment about this ""Lone Citi Pump""That ends with the old "" We could be wrong""disclaimer; Really? I think that Citi was premature and reckless in their recommendation and it was purely strategic to sssist cronies to bail at the highest price possible. Especially since no one has heard what hanging Judge Alsup will do and how that alone could weigh a $50b to $150b burden on them; AND the pending ADDITIONAL LIABILITIES their own lawyers state could reach into the $10s of billions; just so much uncertainty to be recommending it as a Buy and then putting a lofty price target that was at best spuriously calculated. Ok now; your thought",0.0621
165,What time should we hear from the courts today?,0.3807
166,sloooow slide down on low volume... Will jump when Tesla buys shares for the bitcoin money... :)),0.2676
167,3rd bankruptcy needed because can’t afford to pay off paradise fire victims and the new criminal fines and settlements related to the kincade and zogg fires?,-0.6415
168,$72b in assets; $54b in preliminary liabilities That leaves $18b NOW DEDUCT $58b more AT LEAST and SHARES = WIPEOUT,0.3566
169,@Gangsta Grill TrayvonDo you honestly believe your posts have any impact on anyone here? It is pretty evident everyone here has their own belief where the price is headed. How dull is your life outside of this stock board that you have nothing better to do than post here. Unfortunately I'm working a night shift tonight and find this board semi-entertaining but I pray you get a hobby or something. Goodluck with your position. To each their own.,0.916
170,https://www.google.com/amp/s/www.chicoer.com/2020/04/14/panel-to-address-questions-about-pge-deal/amp/,0.0
171,"Source - @nicolasiovino twitter account - The judge will be ""issuing a ruling from the bench later today.""",0.75
172,Governor Newsom to Deliver State of the State Address tomorrow at 10.30 a.m.I am sure he will have something to say about PCG.,0.4608
173,"STILL HOLDING MY 20K SHARES AT $7.00 PP. I'M IN UNTIL 70, WHERE IT WAS",0.8238
174,Poppe will be here on Jan 4 th. They said they will appoint a CFO by the end of the year. . Institution that was selling PCG all of last week is gone and yesterday new institutions came in. Expecting 12.40-12.50 close this week. 2021 will be a banner year for pcg.,0.1741
175,"Some large funds are holding and adding shares of PCG. This is a turnaround story for sure, it will take a little more time to fix things however, when it starts to move up it will be at a steady pace for years. I forgot to mention that we could see a spike when they announce a dividend. GLTA",0.9639
176,Nobody selling til at least 20?,0.0051
177,Nice close,0.3649
178,Our life savings,0.1353
179,Hope you longs had stop losses like I did. 4000 shares with a stop loss at $9.99. Gonna save myself like $20k if she opens at $5. More savings if she opens lower than that . Whew. Always hedge with stops so you can sleep at night.,0.8181
180,"*PG&E: Providing 2019 IIC Guidance of $670M-$907M After-Tax for Costs Related to Fires, Inspections, Ch 11-Related Matters",0.2597
181,"What's going to happen to the stock price if the Governor doesn't approve the settlement? I sure hope he does, but you have to consider that possibility as well. Any thoughts?",0.7301
182,13 come to pap,0.0222
183,https://www.msn.com/en-us/finance/companies/biggest-us-utility-bankruptcy-nears-end-as-newsom-backs-pg-26e/ar-BB11tXHpFInally a done deal. Great job longs. Sign yourselves up for the beer of the month club since you are probably in quarantine. Done deal. Huge pop AH.,0.9304
184,shorting at 12.00,-0.0068
185,State of California is going to drop all the charges ,-0.4875
186,"THIS IS BIG: From Reuters, Dec. 18 @ 12:18 am: At Tuesday's hearing in SF, Judge Montali said ""Not anyone is saying this is a bad economic resolution,"" NOTING A LACK OF STRONG OBJECTIONS. And Nancy Mitchell, a lawyer for Governor Newsom, said ""THE GOVERNOR VIEWED THE WILDFIRE SETTLEMENT AS FAIR."" Mitchell also said the changes to the plan (sought by Newsom) ""OOULD BE NEGOTIATED,"" although she called the governor's demands a 'HIGH BAR."" Before the opening bell of the market, I hear the rumble of a 900 horsepower dragster juicing the accelerator before blasting off the line.",0.9679
187,"Anyone else smell b.s. with the vague Bloomberg article conveniently dropping this a.m. with it's victims uprising headline after too many days in the green? The author doesn't mention the FEMA thing is old news, quotes 1 random victims request that the lawyers be honest about the pros and cons yet doesn't bother to report what they are, another who wants to vent at some empty suits, states the judge is aware some of the 70k victims aren't happy all while implying the whole thing rests on a knifes edge. I'll be forever grateful for the education in manipulation this company has given me, being a newb I had no idea. I made my 1st buy ever @ 4.05 after CITI said this thing was going to zerp and I thought there is no way that happens and from then on I've been amazed at how predictably volital it's been. Every time it trends towards true value for too long you can guarantee some analyst will predict doom, some article will speculate on an absurd scenario or present old news as new or even sneakier, some editor, seeking alpha is the worst for this, will link to an old and or incorrect article of a paid subscription site then summarize it while shamelessly omitting inconvenient parts and presenting it as fresh news. I know this reads like a rant but what it really is is optimism over some expected predictable manipulation by the same entities who've been getting rich on the volitality the whole time.",0.9424
