,Recent headlines and conversations for BIIB,Polarity
214,tomorrow this will be close to 250 ...........,-0.1338
215,"Ok, so Bernstein downgrades w new PT 297 per TDA newsfeed.",0.2734
216,"Beware of all this optimism, do not forget what happened in November 2020....https://www.xtb.com/cy/market-analysis/news-and-research/biogen-stock-plunged-30-after-unfavorable-fda-decision",0.3231
217,Biogen needs AVXL badly. News pending in the next few weeks!,-0.483
218,Double from here. See you at $700+,0.3702
219,The FDA will approve this drug even with the inconclusive results. The need is just too high to get something out there.,0.8402
220,Its like all the calls where taken out for months. I can not make heads or tails out of the options. Guess it will take a day or two for them to catch up or what ever. Strange.. Someone had to know about this. Of course… everything is,0.7953
221,Riding the gravy train.https://www.nytimes.com/2020/04/12/us/coronavirus-biogen-boston-superspreader.html?action=click&module=Well&pgtype=Homepage&section=US%20News,0.1711
222,Just hopped back in... They are appealing... that takes time... the stock will recover....,0.2865
223,"Biogen would really benefit from new top selling womens sexual health products. I'm hoping they partner with DARE who has a pipeline with candidates nearing approval developed by a team of women. $DARE (SP $1.29) presents the biggest returns in 2020 in Biotech as they look to partner up with license agreements with Biogen and others to bring first in class womens sexual health products to market. Their float is only 14M because funding has come from Gates Foundation, Kennedy Shriver Foundation and others who saw the value in safe, effective options",0.9898
224,"Well, for better or worse I jumped back in today... Couldn't resist the ridiculously low valuation...",0.2534
225,"NEWS today! AC Immune to Present at 2018 Society for Neurosciences Meeting... $BIIBUpdate on Therapeutic and Diagnostic Programs Targeting TDP-43*** The first update will cover the wholly-owned TAR DNA binding protein 43 (TDP-43) antibody program aimed to provide novel therapeutic options for patients suffering from TDP-43 proteinopathies such as amyotrophic lateral sclerosis (ALS) and frontotemporal lobar degeneration (FTLD-TDP). The second update will be on the accompanying diagnostic program focused to deliver positron emission tomography (PET) tracers specific for misfolded and aggregated TDP-43, which is non-exclusively partnered with Biogen Inc.The oral presentation entitled ""Discovery and development of diagnostics and therapeutics for TDP-43 proteinopathies"" includes data on both programs and will be presented on November 4th during the session ""Tau and TDP-43 proteinopathies"" (1pm to 3.15 pm, PST; Session #188, in room SDCC 5).AC Immune is developing therapeutic monoclonal antibodies against pathological forms of the transactive response (TAR) DNA binding protein (TDP-43). Misfolded TDP-43 has been identified as the major component of pathological protein inclusions, in both ALS and frontotemporal lobar degeneration (FTLD-TDP). It has been shown that pathological TDP-43 can spread from neuron to neuron as being described for many pathological proteins in neurodegenerative disease. This mechanism creates the opportunity to interfere with the process through application of monoclonal antibodies. AC Immune is using its proprietary SupraAntigenTM technology to raise a broad panel of monoclonal antibodies targeting misfolded TDP-43 which are currently undergoing functional evaluation. This program is wholly-owned by AC Immune.Complementary to a therapeutic approach, AC Immune is developing novel PET tracers specifically targeting pathological TDP-43 inclusions. Small molecules suitable for PET tracer development are being derived from AC Immune's proprietary MorphomerTM chemistry technology platform, which is designed to interact with misfolded and aggregated proteins. Promising small molecule hits have been identified by binding assays using patient -derived TDP-43 aggregates. The ability to precisely diagnose FTLD and other TDP-43 proteinopathies and therefore treat patients earlier and more accurately is critical to disease management that uses novel therapeutic approaches. This collaboration with Biogen Inc. was established in April 2016; it is non-exclusive, and AC Immune retains intellectual property and commercialization rights.https://finance.yahoo.com/news/ac-immune-present-2018-society-100115734.html?guccounter=1",0.9976
226,"Those lawyers, they after biib to. They just compound problems",-0.2074
227,I have to say that sellogen was creative,0.4609
228,https://www.cnbc.com/2019/03/23/failed-alzheimers-trial-leaves-families-and-patients-heartbroken.html,0.0
229,great data. Bought @277.4! $330 easy!!!,0.8469
230,It's down on numerous upgrades .... That makes perfect sense ....,0.4024
231,Crooks,0.0
232,Pfizer vaccine way over stated...and it takes TWO SHOTS BOTH OF WHICH HURT LIKE A BURNING BULLET....the SECOND WORSE THAN THE FIRST.....so tell me how many people are going to say...NO WAY MAN I WILL WAIT....,-0.1388
233,Sad going to be crushed,-0.7092
234,Its better to lose 5% on the way up than lose another 20% on the way down. Dont buy. Wait,0.062
235,So I am buying,0.2731
236,I sold a 277.5 put 2 days ago that expires tomorow.....Now what ? Am i screwed ?,-0.4957
237,Reports have this stock tanking on Monday down to the 200 level or lower. Get out while you can!,-0.2256
238,"$BNGO Bionano Customer Praxis Genomics Accredited by College of American Pathologists, Completing First LDT in US for ConstitutionalDecember 28, 2020, 2:00 PM GMT+1Dr. Peter L. Nagy, Founder and CEO of Praxis Genomics will present case studies of diagnoses made with OGM at Bionano’s Next-Generation CytogenomicsSymposium on January 11, 2021.$AMGN . $REGN . $BIIB . $IBB",0.8223
239,"Beat the earning, on it’s way to new weeks high soon",0.4691
240,When is this taking off,0.1473
241,Only a merger with a big pharma or AMGN will save this company.,0.7688
242,Back to 300 possibly today or tomorrow. Blah ha ha ha!,0.75
243,We longs have waited patiently for a very very long time for this!,0.5976
244,settling in around 230 -- doesn't get any better - 300 around the corner.,-0.5902
245,I feel like a vampire getting hungry when I see deep red like blood. This is an established and good biotech company and was waiting for this opportunity to get in.,0.9288
246,New Data Presented at ECTRIMS Reinforce Long-term Benefits of TECFIDERA (dimethyl fumarate) Over 10 Years,0.3547
247,The earnings and growth look too robust... yearly cashflow of 1/2 liabilities is a good place to be. i'll take a position hereish,0.5935
248,Z,0.0
249,mixed bad cc imo,-0.4967
250,Biogen has no future. Tru Niagen can treat all the diseases Biogen is targeting. How can a company be so stupid.,-0.3332
251,30% premium buyout possible,0.0954
252,"It is very hard to generate any drug in neuroscience. Nerve system is so complicated that it is normal for most drug candidates fail. However, it also means less competition if a company succeeds in some of them. That is why BIIB is so profiting. BIIB still has lots of potential candidates. It only fails in one but there are still big chance to succeed in other candidates. Obviously the market is over reacted.",0.9142
253,Brian Skorney - will he now double and triple down on his negative call as Steven Tusa did on GE and was totally annihilated as the stock just kept rising....so BRI BRI....what is your move here. Do you man up and reverse your call based on new data OR....go into hiding or worse yet do a Tusa and hit Biogen again and lower your target. Boolean,-0.2589
254,"Merck KGaA, announces the launch of MS On My Mind (MSOMM).https://www.msisonmymind.com/",0.3117
255,250 shares loaded and ready for the machine to idle up what a gem at this price. If appeal and ALZ drug is positive this is a REGN in the making...,0.937
256,"Pretty nice action today in BIIB, especially in the afternoon. It will be interesting to see if we make a run at the 7/6 high next week.",0.9012
257,"Anybody miss ""Woozyourdaddy"" posts ???Remember, he was crying the blues and sold out his entire position just before the run-up.",-0.1717
258,Another thing is it could get approval in the EU? Can that happen without the blessing of the US FDA?,0.825
259,Gave up on this stock and sold out!,0.5643
260,"-0.1% 5 year return. The management don't care much about shareholders. BIIB became shorters playground. We are just keep losing money. Opportunity cost is huge. Better put money somewhere else. Like Financials,restaurants travels etc.",0.8555
261,"they push FB , AMZN , all the b's stocks but trash those which save lives.",0.5676
262,"Problem in changing ACA, they would discuss more about drug pricing. MRK failure in Alzheimer , may more attract to acquire BIIB? How far BIIB price surge prior to July, 2017?",-0.8416
263,"270, 270, 270, do I hear 280. Go go go.",0.1684
264,Seems like they beat earnings and revenue. Any idea why it’s tanking??,0.2782
