,Recent headlines and conversations for MMM,Polarity
170,"What 3M really needs to do to re-ignite its growth engine is to buy this fast-growing semi-conductor company that has products with high demand made by cutting-edge technologies and with its stock trading at dirt cheap level, making it a steal and great fit for 3M (and a great contribution to the U.S.). Even if 3M just got 25% ownership of the company, it already has the right to get a couple seats in the board and participate in daily operations to see these world leading technologies and top-notch manufacturing process in their own eyes and have a say in this company's major moves in the future. It would be similar to American companies' and institutions' ownership in ASML, one of the most important semiconductor company in the world.Rumor is that some big suitors are already getting their hands on this global high-tech gem. This small super tech may double in price in a swift (it already has since we started covering it one year ago), closing the opportunity of cheap buyout soon. Read our last analysis and you’ll see.https://seekingalpha.com/instablog/40777835-gathon-capital/5529995-united-state-is-losing-golden-opportunity-to-be-major-shareholder-of-worlds-best-tech-companyhttps://seekingalpha.com/instablog/40777835-gathon-capital/5519600-big-investors-swarm-nvidia-ge-of-china-after-astonishing-profit-growth-in-q2-and-q3https://seekingalpha.com/instablog/40777835-gathon-capital/5495008-ge-qualcomm-ti-apple-should-acquire-ge-of-china-for-dirt-cheap-price-nowhttps://seekingalpha.com/instablog/40777835-gathon-capital/5490372-ge-of-china-enjoyed-strong-profit-and-growth-amid-corona-virus-outbreak",0.9919
171,why is this being punished.....,0.0641
172,"Hey, bet the folks at 3M PAC did not expect the Repubs to come after 3M Company after they gave a lion share to the Repubs. When the truth comes out we will see how much of a kickback Kushner was expecting for the positive publicity.",0.8835
173,"Alright, I am in. Let's go MMM.",0.2124
174,Oil drop is bad for MMM,-0.7374
175,Just bought some shares after a 50 point drop from April 18th high. Nice div at about 3.5 percent as of this writing. X date is tomorrow paying $1.44 per . Just think this has had enough and will come back up over the next few months. Good luck to us longs.,0.9309
176,"3M exporting masks that are needed here - that's evil because 3M is causing death of Americans. I like Congress to impose hefty taxes on those companies are doing this in this time of national emergency. Also, impose a hefty tax on companies that moved manufacturing overseas.",-0.9228
177,3M use to be a solid company. GAP and NON-GAP numbers were the same if not close. Now that has changed significantly. The company is showing signs of being mismanaged and/ or being improperly managed ( to put it nicely ) ( please read between the lines) . GE decline started out in a similar way. Very disappointing. The numbers do NOT lie folks.,-0.2271
178,The market is showing no confidence in 3M management despite decent numbers. Time for a change.,0.6132
179,Another PC of junk hack dividend investors are peddling...no reason to buy at all.,-0.3528
180,Z,0.0
181,I see the Governor in Minnesota has had a few government jobs in his life thus far:1. A geography teacher. Pension 1. 2. A member of the national guard. Pension 2. 3. A member of Congress. Pension 3. 4. Governor. Pension 4. So the guy has been living off the working man his whole life and will continue to do so under a few pensions at least until the day he dies. (Perhaps some of these pensions pay after death. You can’t put anything past public unions.)Is it any wonder why he doesn’t care two sheets about all the working people in the State of Minnesota? This guy plays right along with the Rockefeller foundation playbook. The liberals who voted for him are now getting what they deserve.,0.8617
182,This company compares with BA.,0.1241
183,"Like I said yesterday, ""yearly increasing, rock solid div.. A+ financial rating.. safety, works for me. %^)..capapp/TR takes care of itself.."". Still holds true..",0.9
184,"Fastenal and HD supply tanking HUGE !Fastenal Company (FAST) 41.89-2.76 (-6.18%)HD Supply Holdings, Inc. (HDS) 33.27-8.00 (-19.38%) This can't be good news for mmm can it ?",-0.4149
185,Atta boy Donald!,0.3589
186,MMM needs to get rid of 6 sigma before it totally sinks the company like it did GE.,0.3449
187,$200 after close. Down $14 from its high a couple months ago. See it hovering around $190 which makes it a reasonable buy in my opinion.,-0.0464
188,"God bless Texas. They sued GA, MI, PA, and WI. I don’t know why MN wasn’t thrown in there as well. Clearly there was voter fraud there with the hundreds of thousands of extra voters!",0.6623
189,I'm kind of wondering why the stock didnt really take much of a hit. Basically they didn't even have to pay for what they have done. Thought there would have been selling. I'm sure they have allies that made some big stock purchases. It's all rigged.,0.6358
190,"This stock is no APT, that's for sure. I just don't get it. MMM makes face masks too, why isn't it moving like APT just a little bit?",-0.3435
191,https://www.cnbc.com/2018/07/09/how-the-epa-and-the-pentagon-downplayed-a-growing-toxic-threat.html,0.0
192,MMM is down 30% in the past 3 years and as shareholders we have missed the market’s run up during that time. It still looks like dead money and it’s definitely one of the dogs of the DOW.,0.1746
193,There is no stopping this Juggernaut!,-0.3829
194,"If your a long term dividend investor, this drop is a blessing and let’s hope we see a drop to $140s.",0.7677
195,$190 sellers are wanted ... LOL that idiot,0.0614
196,"Trump's tariffs war about to increase further and get nastier, eventually tanking the economy. He started a war he could never win during a one-term presidency, and America gets to suffer long after he is out.",-0.8223
197,"The Data shows that the US economy is slowing down, GDP growth is going to turn to negative. As you've seen in the latest quarter, US corporate earnings are declining. Meanwhile US national Debt is hitting 22T new all time highs every day. However US Stock prices keep getting pumped since 2008 non-stop only because of Quantitative Easing. People started to see US Stock Market as Free source of money! US Stock prices went up parabolically, but the problem is NOW US STOCK PRICES HAVE PEAKED! US market is INSANELY OVERVALUED and OVERBOUGHT! Valuations are ABSURD and US market is trading as Pyramid Scheme! 99.99% of all publicly trading US companies do not make money! Stock buyers aka Gamblers are buying extremely overvalued US stocks at PEAKED prices to GAMBLE. People forgot what happened to PEAK buyers in 2000 and 2008! Stock Buyers will LOSE EVERYTHING again! Some of the buyers haven't seen RECESSION and they think stock prices will keep going up forever. Upcoming RECESSION will be a good lesson for stock GAMBLERS! $AMD $AMZN $NFLX $TSLA $SNAP $TWTR $ROKU $SQ $SHOP $NVDA $MU $AAPL $GOOG $MSFT $CSCO $MA $V $WFC $BAC $T $GM $QCOM $BABA $BA $NKE $PFE $JNJ $TWLO $CRM $ADBE $CAT $X $IBM $INTC $MMM $DB $T $GM $TWLO $CRM $ADBE $TWTR MEANWHILE Trade Wars are deepening! China will DESTROY US Companies! DO NOT GET TRAPPED IN US STOCK BUBBLE!!!!",0.7625
