,Recent headlines and conversations for MCD,Polarity
236,Does anyone else think this weakness could be about selling defensive stocks to raise cash for investment in high growth now that some sort of trade deal has been reached?,0.7596
237,Instead of long lines at the traditional counter there will be longer lines at the kiosk - makes perfect sense lol.,0.7709
238,Reducing beverage prices is a stupid move. It won't increase traffic. Management must be concerned about sss. They are going to miss this quarter imo.,-0.7546
239,Insiders selling https://fintel.io/n/us/mcd/goare-douglas-m,-0.0296
240,Revenue falls 30%,0.0049
241,"look at a 2 year chartback to 170eventually a lot lower, low as the 52 week low, or lower(143.66)http://bigcharts.marketwatch.com/advchart/frames/frames.asp?show=&insttype=Stock&symb=mcd&x=27&y=11&time=9&startdate=1%2F4%2F1999&enddate=1%2F22%2F2019&freq=1&compidx=aaaaa%3A0&comptemptext=&comp=none&ma=3&maval=50&uf=0&lf=1&lf2=4&lf3=2&type=4&style=320&size=4&timeFrameToggle=false&compareToToggle=false&indicatorsToggle=false&chartStyleToggle=false&state=11and lower",-0.7716
242,MCD is a buy at $208...I wasn’t paying attention today and missed the beautiful buy!,0.6598
243,Any thoughts about the action on MCD today? It is down $3 below $182. I do not see news to drive it lower. Did we get a downgrade of MCD?,-0.4353
244,SOOOOOO OVERPRICED...,0.0
245,New kiosks cutting overhead and allowing employees to be more productive and focus on other tasks. We love more profit.,0.8714
246,SPX Futures are dying which means Golden Arches will be flying!,0.2968
247,THOSE DOPES AT MCD JUST KILLED THE GOOSE THAT LAID THE GOLDEN EGGS. UNDER HIM THE STOCK ROSE 96% SINCE 2015.,-0.4638
248,Testing mobile likes buck Stars. Acceleration,0.6882
249,172the charts point to 172fundamentals point to the 52 week low 143.66,-0.3451
250,"The FACT is if you still work at McDonald's and you are WHITE the real truth is McDonald's just put your life in danger . Sorry if you get hurt but that is what is going to happen when companies become RACIST and Discriminate. Wake up and look around it's not just blacks and browns that are hurting . Obama and Joe destroyed every small town across America , FACT and there are angry young men on both sides just waiting to take action. If you are WHITE and still working at McDonalds you have just become the target of all the angry and McDonalds just told you they don't care what happens to you . FACT, I don't need to make stuff up because what I am saying is the truth all part of the real world we live in and it's not the fantasy world the DEM wits think we live in. FACT it is proven out everyday in the news.",0.3578
251,I held this 10 years ago at $25.00. if I knew junk food,-0.3263
252,"earnings is good, but not so hot, 5% 164 is the 50 dmathe dividend is 2.78, but the 10 year is wll over 3 percent yieldgoing down, today is its day, then it goes downjust a hunch",0.5591
253,Nice dumpage into close,0.1441
254,McCheater,0.0
255,"I?ve said it before... this company mgt is just awful! They need a new direction. This is low quality, hi-fat, fast food... not a good place to be going forward. As someone previously stated earlier today, the companies revenue have actually been declining over the last few years. People don?t want this #$%$ and they need to change direction quickly, there are so many other more healthy options than MCDs...",0.5675
256,a fish sandwich and fries will never be the same without Hi-C Orange. dumb move. like oreos without milk. sad.,-0.6808
257,Huge buying opportunity!!!,0.795
258,"MCD new burgers arfe horrible! Did you see the bideo review from the fat chick? She hated them.....said they had little taste, but for the cheap price were OK (lol)! Meaning, she'll eat garbage for the right price. MCD is a bloated stock and easy short here, IMO!!!!!!!!",0.5416
259,This stock is a DUD!,-0.2931
260,smashed earnings ...Kramer said unstoppable. Down 3 bucks it all makes sense,-0.4258
261,outperform no goodbuy means maybe buystrong buy means buy because we bought it and want to sell it to you,0.5128
262,Good company with declining revenue and earnings.,0.408
263,MCD's problem is that everybody else comes out with delicious and updated menu all the time while MCD stuck at 1980's and 1990's.,0.5066
264,I ate 14 Filet o Fish on Monday for Presidents Day and $MCD stock didn’t move at all?,0.274
265,What the heck is going on here. MickeyD way over sold now ,-0.1044
266,"PE is only 27....that's reasonable for a 70 year old company with limited growth prospects, no?",0.5704
267,Reuters updated their forecast to $255. MCD investing in tech to get you your Big Mac faster and delivered to your house.,0.1837
268,CMG has ZERO stores on China.,0.2942
269,Buy all you can this is 200 dollars a share,0.4794
270,https://mjbizdaily.com/marijuana-company-lawyer-convicted-securities-fraud/?utm_medium=email&utm_source=mjbiz_daily&utm_campaign=MJD_20190204_NEWS_Daily_02042019&elqTrackId=FA4606D565170969A10CB111CB81F11C&elq=6f0996c7420b4fa38a30a51cc8c24763&elqaid=1003&elqat=1&elqCampaignId=675,0.0
271,"Time to sell and boycott this company for pandering and stupidity. Really? A meal named after the rapper Travis Scott? The guy who glorifies gang activity, morally corrupt black culture and Nike? A guy who routinely spews evil misogynistic lyrics? All to win favor with black franchisees...... unbelievable. Just read some of his lyrics and then tell me he is worthy of the first celebrity endorsement in 30 years. Where are the women in MCD's leadership? Can they not read the lyrics?",0.932
272,MCD will be back under $200 soon,-0.0854
273,the french fries are the best in the world,0.0128
274,"52 week low 153so, maybe it will go to 163, for exampleit went up 29% from the 153 lowand grows by 14% maybe lessa lot of buyback waste of money, reallycould go down, could go up",-0.0257
275,Do you know life is meaningless and we will all die in agony at our time of judgement!!!,-0.8291
276,"I register displeasure at how the public and corporate America portray Ronald McDonald. As a fellow closet case, I enjoy the clown's bright red makeup and excessive use of blush portraying shame (when there really doesn't need to be any.). Ronald is tall, like me and has a white complexion making him look like a powdered donut. I really can't stand bullies and people who make fun of him especially the folks at Burger King who recently kicked me out for using the bathroom one too many times. Robert P Cocco, Esq.",0.9557
277,"article ""three stocks to buy ahead of the market crash""how ingeniushow about, go to cash",0.2175
278,"BIG POW , then sell-----deer in head lights ------see the light later , DONT go to the ER , go 2 days later after the heart is half DEAD ?",0.4939
279,"Headed to $168, will buy there.",0.1425
280,"Here is a little secret. Europeans and Asians love McDonalds, allot. I mean a whole lot.",0.8286
281,MCD is the best buying opportunity otherthan Superstar Bio-Tech AMRN,0.8417
282,GARBAGE STOCK!,0.1662
283,needs 50 haircut,-0.258
284,Late to the dance but picked up some this morning!,0.3173
285,"ba dabababa, buy the dip",0.3345
286,"MCD still has people getting very sick in 15 states but stock hardly drops. Chipotle gives 3 people the runs and stock goes down 9% in an hour, then goes back up when it's found to be BS.MCD Custer's have been getting sick for months.",-0.3984
287,More pain. JPM just cut target to 215.,-0.6474
288,"Wall Street trades off the moving averagesthe 50 dma is less than 168it will go below it, maybe to the 100 dma of 164I bet it goes back to the low of the year in the 140's eventually, because the liabilities are way TOO HIGHlook at F (Ford), their liabilities are off the charts, almost as high as the market capand a recession is coming, everyone says not for a year, but watch, it take a while for the data to show we are in a recession, but it actually happens months earlier (the slow down)check housing, terrible, new mortgages fell off hard",-0.7741
289,Drive throughs packed! Now we look like In&Out!,0.5982
290,How is CMG 1500And this 200.Can someone explain this,0.159
291,Share buybacks bottomed today up 2% tomorrow.,0.5019
292,"Why I love McDonald's-I love the way you treat me every quarter with enough cash to buy every number on the menu. I love the way you climb steadily without me having to micromanage you. I love the quick drive thru's on the rainy days. I love the dine in's on the hot sunny days. I love the hot apple pies that fit any occasion. I love the breakfast oatmeals with the perfect touch of raisins. Of all these things, what I love most is the clown and his side piece grimace.",0.9953
293,Mcd is ready to explode up after er,0.8224
294,"Maria B talked to Rensi this morning. He sounded sincere. Blathering ""its not supposed to be a working wage"" over and over.In 1969, min wage was $1.60. In 2020, an equal wage is $11.58 an hour. Myopic people worry about paying 9 dollars for a burger. But they don't see that at 11.58 an hour, millions of people would be paying taxes, instead of getting govt support.And your taxes going down. Rensi is an elite, devoting his life to taking advantage of low pay people all over the world.",0.5182
295,the criminal sceneis to come up with an extremely high targetturn on the botsand sell to the idiots that don't understand that the SEC gets picked by how stupid they are,-0.4397
296,went from $146.84 to $181.77 within the yearPE suggest 3.7% return10 year at 4.2% today10 year climbing,0.3946
297,"I am an ex-NASA engineer who worked on the COBE mission.If you are a skeptic about UFO's the strongest evidence I can give you is provided below.While some are possibly ""black-ops"" military vehicles, there are mountains of evidence and eye witness UFO accounts including Presidents Reagan & Carter, Fife Symington the ex-governor of Arizona, several astronauts, the head of the Lockheed skunk works, pilots, over 400 U.S. government/military/intelligence officials have come forward, etc.The ex-Defense minister of Canada, Paul Hellyer, and astronaut Gordon Cooper have publicly stated that multiple alien species are visiting the earth, see links:https://www.express.co.uk/…/Aliens-visiting-Earth-UFO-paul-…https://www.youtube.com/watch?v=dvPR8T1o3DcThese not just not confined to sightings by one person out in the middle of no-where at 3:00am, but there have been mass sightings in Belgium (13,000 reports), Arizona, O'Hare airport, by entire schools in Zimbabwe and Australia.Perhaps the strongest evidence came at a conference at the national Press club, where ex-military, NASA, and intelligence officials came forward to give their experiences.On Wednesday, May 9th, 2001, over twenty military, intelligence, government, corporate and scientific witnesses came forward at the National Press Club in Washington, DC to establish the reality of UFOs or extraterrestrial vehicles, extraterrestrial life forms, and resulting advanced energy and propulsion technologies. The weight of this first-hand testimony, along with supporting government documentation and other evidence, established without any doubt the reality of these phenomena. These individuals offered to give sworn testimony to Congress about their encounters, but Congress has refused to hear them. Instead, Congress has covered up and lied to the American people about the existence of UFOs.Here is a link to the press conference, please watch and pass on!https://www.youtube.com/watch?v=Z-iaV_XW9iE",0.9915
