,Recent headlines and conversations for MA,Polarity
307,"rotation still on on payment stocks. I believe this should pass soon the same way the rotation passed for the cloud stocks after a few months. big guys were too loaded on some of the main payment names so it takes time to unwind. this will get oversold eventually. adding at this levels. also adding on $V, $MA, $SQ, $STNE gradually",0.389
308,Why down down down lately?,-0.4572
309,"MA has been a terrific stock to own....w/a 10:1 split, investors in ipo price of $40.00 now have a cost of $4.00.For myself, this is a ""forever"" hold stock",0.7464
310,This is what capitulation looks like,0.4015
311,I want to see the billionaire Bloomberg’s stock portfolio after he dropped out of the race. How much did he lose? He must love to lose $$$ to defeat President Trump,0.6376
312,$200 by Monday,-0.0086
313,Best Stock in my Portfolio ,0.7518
314,Cramer made some comments about MA and the credit card stocks this evening. He had recommended buying MA weeks ago as a recovery play. To paraphrase he said the bank stocks having caught fire has drawn money away from MA/V as money managers who must have exposure to financials have moved to lower p/e stocks that will benefit from the rising yield curve. Stocks like PYPL have also caused some $ to come out of MA/V. FWIW.,0.9391
315,"SELL, SELL, SELL!!! The money velocity is decreasing.",0.6939
316,The Dow is up 239 and the NASDAQ is up 72,0.349
317,This sell off is crazy. Just because visa has a probe doesn’t mean MA should drop this much!!,-0.7323
318,"@Tom - Why do you think the market ""should"" be moving higher? We are in the middle of a trade war with the world's second largest economy, interest rates are increasing, which is raising the cost of capital for companies and individuals, and the year-over-year growth benefit of Trump's tax cuts will end next year. What is happening in the markers is justified. You just don't know enough to understand.",0.7592
319,I am really starting to wish I hadn't loaded up last week for 341. Seems if I had waited I could have bought twice as many shares for half the price soon.,0.6831
320,Look at MA rally. YES!!!,0.3887
321,When are the Marxist democrats now in power going to start blowing up the economy and stock market?,0.7002
322,the Fed owns over 83% of the stocks in the markets now. Is this how a free mkt works.,0.1026
323,Rut Roo Raggy. AXPs numbers not so swell. This means for us?,0.0647
324,All time high!,0.3048
325,200 by next Monday!!,-0.1654
326,This is strange to sell off so close to earnings,-0.0899
327,Listening to CNBC this morning.........they made it sound like MA and V's decline could just be about valuation.,0.3545
328,"Currently sitting right on the 20 day EMA. Nice support, MA doesn't spend a lot of time under the 20 day. Should see some positive movement soon.",0.8593
329,Mastercard also owns maestro which one of the biggest debit card brands,0.1098
330,"I just sold 1 share of MA....usually when I sell stocks go up, small price to pay for my other 499 shares to get over $200. Thank me later! LOL",0.923
331,Ridiculous credit card service $V $MA payment service $PYPL all extremely overbought!!! Biggest bubble in the world!,-0.3024
332,MA reached a new All Time High at 186.20,0.1631
333,Story keeps getting better. On to $400 amigos. :)),0.7287
334,Good article with MA as 1 of 4 stocks to buy right now...... https://www.fool.com/investing/2020/10/26/got-3000-4-proven-stocks-to-buy-right-now/,0.5965
335,we got a bleeder boys,0.0282
336,Another $4 move. Well done MA!,0.2208
337,Good buying opportunity today.,0.7966
338,Why down?,-0.2037
339,Way overdue.,-0.2595
340,"THE index tries to turn green in the morning, which I am surprised. I think the market waits for some clues from JACKSON'S HOLE. I THINK THEY EVEN OBSERVE BODY LANGUAGE OF YELLEN WHEN SHE WALKS. BE FRIEND WITH THE FED AND THE FED WILL BE YOUR FRIEND.",0.3374
341,U capitulated last week folks dont worry we all did,-0.3513
342,Just bought in all the way @$342.00. you're welcome.,0.4736
343,Ouch,-0.5371
344,Markets up 350 points and MA is trading flat with vaccine news. How can this be?,0.7822
345,MA 52 week high today MSFT 52 week high today DOL -17.9%   ,0.4187
346,MA getting rocked right now.,-0.2436
347,The entire American automobile industry has just shut down. I don't believe anyone is going to be buying anything.,0.2679
348,MA will rock today. I expect stronger earnings for MA than what V reported yesterday!!!,0.6747
349,The dow is going to open this morning down 350 points. Most of this is because the democrats will control of the house. Most investors agree with the democrats in control they going to destroy the economy the trump has built.,-0.6789
350,Why is this on the downside with most cities and states opened up? Most other stocks are at 52 week highs or making new ones. Any input or facts would be greatly appreciated. Thank you.,0.8105
351,Mastercard Board of Directors Announces Quarterly Dividend and $8 Billion Share Repurchase Programhttps://apnews.com/Business%20Wire/9bdf0b5a2c0b489c9b584d9d1153fd9a,0.7529
352,340 resistance. MA has to break it first before heading to new high,-0.2047
353,"The $19 Billion class action lawsuit in the UK  declined to a $43,420,000 fine for MA — as a to their part of 5 firms in the class action lawsuit!*** This settlement could be seen as a “victory” for MA... given the magnitude of the $19 billion sum and the headlines and attention it garnered!",0.5472
354,"It is manipulated again for MA today. Call 135 is a factor for depressing pattern. I will watch it closely, because it plays out different from V. The new high/new low ratio points out that the market will move higher.",-0.562
355,Buy opportunity,0.5139
356,Can't touch this! Great day again.,0.7826
357,MA reached an all time high at 251.05,0.0757
358,"Holey moley. At 315 and change, I better bump my sell stop up a bit in case of a major correction.",0.267
359,By far one of the BEST stocks out there,0.8391
360,The Rolls Royce of FinTech just keeps getting better. As the B to B segment of the business continues to explode Mastercard remains in the pole position with a huge lead. This is a stock that can double from here in 12 months. IMHO.,0.8805
361,Strong Sell! Profit taking!,0.8081
362,LOOK AT MA GO!!!!,-0.412
363,"This deserves a fintech multiple. But not complaining, it’s waiting for me to keep loading up.",0.2628
364,"great news, today premarket +5%",0.7013
365,Chip stocks and tech are rebounding alongside news out of Israel with a vaccine coming in less time than the US!,0.9008
366,you can make a few bucks buying in the low 90s and selling in the low 300's over and over.,-0.3954
367,"Two weeks ago treasury secretary MNUCHIN says trade talks are 90% complete. Trump comes out today, long way off from trade agreement with china. I don't like to be taken as a fool.",0.7197
368,bought at 211 last Friday. thank you for dumping so low.,-0.1291
369,"This is what I was talking about. This is the dip I was looking for,but didn't wait for. Great buying opportunity,now and for the next while. Except I spent all my money when it was at the top. Oh well. Buy low Sell high. I never learn.",0.7852
370,With how great retail stocks are doing MA should be at $110+. I added a bit more. Largest holding now. One of the best stocks to own long term.,0.9341
371,More down than up for this stock for over a year. Dead morning at 100%. I would sell abs put into something else 100%. Dividend is weak as well.,-0.4477
372,going down to 269 today...will stop at 269,-0.4956
373,"MA and V are perfect stocks. They are one of the few companies that blend safety with growth. One of them (or both!) should be in everyone’s long term portfolio. Massive MOAT in a duopoly, no credit risk, moving towards a cashless society. What is not to like about MA? COVID may (will probably) only increase the speed towards a cashless society.Buy and DCA it forever.",0.9508
374,buy buy buy upside next day,0.6021
375,And this board goes silent. Lol,0.6166
376,will drop to 190,-0.3529
377,Was reading all yours reply yesterday. My verdict: Strong BUY on any pullback.,0.8824
378,We are getting really close to that magic number!,0.2303
379,"Venmo, Zelle, square cash, merchant complaints, higher merchant fees due to special interchange categories to fund card holder rewards. Seems like the better days could be behind them. Thoughts?",0.8093
380,$MA Target Raised by Morgan Stanley Overweight USD 377 » USD 412,-0.6366
381,Looking like a nice pop at the opening.,0.6656
382,this stock is really starting to cook today I'm really excited I think it's going to easily hit the 155 by next week ... certainly the 160 or 162 even by about December 12th. Meanwhile pay no attention to the pump and dumpsters who make their little advertisements. They should be banned.,0.2047
383,thinking of dumping all my msft and going all in with mastercard. Thoughts?,-0.2676
384,"WOW- Lots of 'Chicken Littles' on here today, with multiple personalities, spewing the same message- The sky is falling",0.8435
385,It's nothing but shaking off as the weak hands today. Just loaded 185 options between 329 to 340.It's damn good buy at this price.,-0.3125
386,"http://alph.st/b1abed6a Excellent results. Maybe Visa is in red AH because of increased outlook in operating expenses for FY18. Among Visa, $MA and $AXP , Visa is a clear winner!",0.9226
387,Consumer debt at 14.3 trillion. Looks like a lot of bad debt there,-0.6841
388,Corona virus is over-reacted,0.448
389,MasterCard will do well in the next year. Even casinos are looking to go cashless.,0.133
390,Great day!,0.6773
391,Holding with no plane to sell.,0.2191
392,260$ by Monday,-0.0086
393,All time high. Well done!,0.517
394,"MA stock is working back up the ladder to it’s “fair price” value in the range of: $342 - $350.- The stock is emerging from an “Extreme oversold” bargain bin level.***Hopefully, the upcoming “investor conference” would be an opportunity to gauge MA’s Mgmt sentiment prior to a frenetic Holiday Season.",0.9201
395,"This is a buying opportunity in MA!- The stock crossed into grossly oversold territory! - The current Qtr is usually the strongest of its fiscal year— considering it’s the holiday season.- It’s time to buy MA when everyone is selling.***MA should be bought with both hands at this “bargain bin” price below $300 - $320.***You can hang your hat on the “silver linings” in their Qtr report: ((( purchase volume was; $1.24 Trillion — blew away expectations, and; Gross volume was; $1.65 Trillion again blew out expectations by a statistically significant margin. )))- I see a strong bounce back when investors come to their senses, and begin to focus on the details within MA’s Qtr report!- Savvy investors should make the most of this “mis-pricing to pounce on this bargain!",0.979
