,Recent headlines and conversations for UA,Polarity
258,Major drop today.,-0.2566
259,It all doesn't matter if the POS doesn't actually make money...,-0.0892
260,Under Armour reached a 52 Week low at 11.34,-0.2052
261,Shorted,0.0972
262,The bus goes up the street...then down the street..up..then down,-0.2658
263,Got in @12....2018 will be epic for UA,-0.1167
264,Thought on buying this? Reading into initiating plans to save $600 million and basically rediscover their identity intrigues the hell out of me.. Yet they have fallen off some and basically became content when American football became a big player and that was enough.. I want to become a player in this and maybe double up but I dont know...,0.7007
265,UA up for sale soon?,0.3187
266,"Spieth, Curry, Brady, all of the MLB, half of the NCAA... UA is quietly all over all the major sports!",0.1776
267,Lower Costs = Increased ReturnLogical,-0.0258
268,EOS launch of the coin,0.1065
269,"I don't get it, I see people wearing this EVERYWHERE.",0.2692
270,this will be down tomorrow,-0.2934
271,i expect it dropping back to $9,0.0329
272,Super oversold on 15 . Expecting big bounce or some news soon.Have been watching for this. Entry at $12.37 x 500 for bounce.Mental stop at $11.90-12.20. Same regurgitated garbage . Revenue is almost at Mkt cap. I expect a short squeeze. Nice play.,0.5004
273,Don’t be sung the shorts need to cover today,0.081
274,See major upside or downside right after feed meeting around 2PM EST.,0.4176
275,Under Armour no longer selling the UA Band? Probably a good move getting away from this business with fitbit already well established. Under Armour site shows none in stock and you can't even find it if you navigate the site. I picked up the UA band at Macy's. I figured it was worth a try for $85.00.,0.8853
276,What a comeback today,0.3377
277,Green,0.0406
278,Jordan Spieth hasn’t been the same golfer since 2015 :(,-0.4138
279,"New to the site, and one of those who think more upside than downside from here, although needs a turn around. See like most these Yahoo sites, you have your resident troll (the one that always posts doom and gloom, but is never short)..",0.2264
280,DKS destroys their firearms. UAA is next.,-0.5621
281,What’s the difference between UA and UAA tickers. YF says both are under armor?,-0.1118
282,almost impossible to hold 18 today... Oh well.,0.0111
283,I have been waiting and waiting for this come on keep it up Uaa,0.4104
284,bankruptcy coming,-0.2003
285,uaa down like the ravens ahaha,0.1213
286,https://www.fool.com/investing/2018/02/05/what-im-watching-for-when-under-armour-reports-ear.aspx,0.0
287,"Nancy, did John force you to start defending him on this channel because he’s a fat loser. I take it your also a muffin top as well?",-0.3061
288,My only concern is the rising inventory level,0.6308
289,Upgrades coming?,0.0537
290,blowout,0.2332
291,UA is tanking again today more than it did yesterday. Michael Jordan never let his political views be known. He said both democrats and republicans purchase his shoes. UA CEO should take Michael's advice. If you own UA stock you better take your losses and get out.,0.7387
292,Anybody want to short this to 30,-0.4197
293,Plank the buzz killer..,0.0129
294,"Plank is quietly sinking millions of his ill-gotten gains into his real empire, a multi-billion dollar Real Estate venture.http://www.bizjournals.com/baltimore/blog/real-estate/2016/01/kevin-plank-port-covington-master-plan.html",0.52
295,"I have recently started a long position here. All my son's pre-teen friends wear under armor and I think this represents a good opportunity when things get back to ""normal."" Nobody has been buying their kids clothes because everyone is home there is no school. I suspect when that changes there will be a significant positive change in sales. Willing to be proven wrong here, and I hear the concerns about management, but at the end of the day this is a very popular brand with younger generations which I think bodes well for the future. Also no sports is a major drag. I'm comfortable building a long term position around current levels. Good luck to all and my apologies to the currently suffering longs.",0.9798
296,"Already factored in, down from here",-0.1876
297,Ditch Curry who is not that good any more ...,0.5167
298,crushed,-0.4215
299,only stock red in pre market,0.2038
300,"They will not make money this quarter but still go up, it’s the best stock ever",0.893
301,This is #$%$ they must be holding back the $20s till earnings look at HOG today and the only thing they are selling is Harley shirts.,0.5808
302,down slow slow to 19.98 but up Quickly to 20.94 Tomorrow,-0.1092
303,"Yesterday, Under Armour (UAA) reported disappointing earnings and cut its revenue-growth forecast in half. That prompted seven analysts to cut its stock yesterday, including those at Susquehanna, Piper Jaffray, Raymond James, BofA Merrill Lynch, Wells Fargo, B. Riley, and Credit Suisse. And the downgrades have continued today, with analysts at Evercore ISI, FBR, and Canaccord Genuity joining the downgrade party.",0.5124
304,Why does John post nothing but nonsense then delete it?,-0.5367
305,Limped in just now,0.0943
306,16% return on Friday glad I sold,0.5092
307,"UA can’t get it in regular session, and they pump it in after hours...........whatever",-0.0985
308,"Sam Poser is an overweight loser trying to give advice on fashion and athleisure. Now I can understand why he hates Under Armour so much, its because none of the Under Armour apparel sizes fit his #$%$",-0.4595
309,Kids love UA and kids will push this stock up!,0.769
310,Plank's 'Pump and Dump' plan revealed ..... we were all duped by this crooked charlitan.http://www.bizjournals.com/baltimore/blog/real-estate/2016/01/kevin-plank-port-covington-master-plan.html,-0.4859
311,"Thunder I hear ya I lost over $70,000 on this just in the last year killed me so what can I do sold everything but just a little and praying that Adidas buys UA out or someone",0.5843
312,"This UAA has a very nice bottom if you use Technical Analyst. There is a nice island reversal in place (Bullish reversal). The rising 50 Day Moving Averages has just crossed through the falling 200 DMA (Another very Bullish indicator). All this occurring after a 3 year down cycle. Truly setup for May 1st. Any kind of positive news on May 1st, this stock could easily be back in the $20's..",0.9586
313,"The way this is going, any positives in the earnings report would be welcomed with a good increase.",0.9047
314,I for one think this is a good entry level to purchase UA. it will climb back one to two dollars between now and the next earnings. ride the wave...,0.9212
315,ANOTHER SHORTS PAY DAY,0.0793
316,UA hasn’t even started international expansion. It’s still very early in it’s life cycle,0.6503
317,UA reached a 52 Week low at 13.67,-0.1464
318,WOW!!!!!!!!!!!!!! bravo UA,0.0
319,Many things applicable to LULU in the article are also applicable to UA. Stay Away and Keep a Wary Eye! https://www.stockmetrix.net/blog/post/082718/lululemon-warning-signs-stretched-valuation?t=yfzhanb,0.755
320,UA reached a 52 Week low at 12.19,-0.1464
321,Uh-oh. Wait till the truth comes out! LOL,0.7925
322,Kevin .!..,0.0
323,U don't need to buy apple which is very hard to go up 4%. Just buy this stock and now is up 13%,0.5141
324,"Now 12.75 on 26,600 shares. Panic is setting in.",0.0322
325,Plank leaves economic council .... President Trump is not pleased ..... That loud thud sound you hear is the people at Tide Point jumping out of the windows as Kevin Plank seems to have become an overachiever in the arena of stupidity.SELL Now ..... Don't be left holding the bag .... That's all !!!,0.7236
326,International growth should hold well for Under Armour which may move the stock higher when they report on the 26th,0.8619
327,Someone need to buy out this company that knows how to market the brand internationally. CEOs are banking the money and not expanding.,0.499
328,there is only one thing gonna turn this ship around. this company has to make the tough choice and do the unthinkable. They must have their own distribution meaning control their own store front. You are at the mercy of whatever store they decide to go into. How many times will they make the same mistake,0.4153
