,Recent headlines and conversations for IBM,Polarity
177,"The future of IBM is hybrid cloud, said Ian Campbell, chief executive officer of Nucleus Research. “But the biggest challenge is they are very late to the cloud party,” he said. Amazon Web Services and Microsoft Azure have dominated the public cloud space for years and IBM, once a tech titan, is considered small-fry in comparison. “Cloud is the make or break for IBM, but nobody even knows they’re there,"" Campbell said.On Tuesday, IBM announced that AT&T Inc. would be shifting its internal software applications to the IBM cloud in a multi-year agreement. This is mutually beneficial for both companies, Campbell said. “But it feels like two B-list celebrities announcing an engagement in the hopes of becoming an A-lister,” he added. “This is not going to move the needle.""",0.9666
178,So glad I sold this turd back when it was $183/share.,0.181
179,"Earnings $ 17 per share in 2018, combination of lower tax return so 15% of in income to shareholders + recovery of mainframe business + acceleration on services side.",0.0155
180,IBM and Block-chain are the future of the world economy.,-0.1467
181,"It wasn't so long ago that everyone was acting like MSFT was dead and gone. Then, miraculously, new management and a shift in emphasis. Ka-Boom. I don't know whether anyone can match what Nadella did, but IBM has a lot of tools that it can leverage if you put the right people in charge. I'm betting that - finally - IBM has the right people in charge.",0.2896
182,I do not think China can come up with IBM quantum computer Q anytime should. US govt invest in quantum computing in IBM in digital infrastructure spending is almost certain.,0.7644
183,"IBM is going nowhere......The company has been an internal disaster for 10 years and anyone watching its stock knows exactly where its going......it paid out 34 billion dollars to purchase RED HAT, trying to land something in tech which this once great american company had lost in its ten years of having you know whom running the company.....she basically had no idea of hi tech.....The interest on buying red hat alone is equal to almost 40% of its common dividend.....in time, IBM may not be able to support that wonderful 5.6% payout.....Once , as janet yellen said, the economy strenghtens later this year, the rise in govt interest rates to as high as 3% will wipe out any last advantage IBM has had......At the most, IBM will float around this number for a few months and then head down because other companies, especially microsoft, will advance faster than anything big blue can match.....this stock is a loser ahead......the economy is expected to move up quite fast this year as covid cases decline but IBM will not join the herd....its too dependent on its dividend and even that may not be as secure as most people think.....Check to see monthly how many hedge funds are still involved......The company has far too many employees who are producing tons of paper but nothing to truly show tech advantage.....that's all lost in its once wonderful reputation, something which has long since died....Its simply moving on a dividend today as seen by most people on this site......",0.9885
184,pays out 5% and goes NOWHERE. if you want a 5% bond in tech then ibm is your choice.,-0.0413
185,I don't have to pump anything on IBM stock really. It is too much undervalued. Sensible will buy no matter what.,0.1347
186,I just run numbers. IMO should imo touch 200 in a few years.Enjoy in the meantime the current 5.5% dividend which will be raised soon imo.,0.2721
187,Any thoughts what the dividend increase will be.,0.3982
188,"As Linus said, ""What's that?? What's that?? ..."" Could we possibly have two positive trading days in a roll????",0.7046
189,I'm out. There's just not enough upside here. Moving my $$ into a few pre-IPO SPACs for a quick gain.,0.8662
190,IBM - the gift that keeps on taking.,0.495
191,"What a sad commentary!!!! IBM continues to disappoint. I'm beginning to wonder if Krishna just isn't another Rometty. I'm an IBM retiree with more than 30 years service knowing first-hand what the company was and what it appears to be now. I've now finally lost faith in the management/BOD's ability to fix the problems. SAD,SAD,SAD.",-0.6418
192,"Not trying to be a Downer, but how can we compete with Google, Microsoft, and Amazon in the Cloud business? Isn't that a little scary? Aren't our competitors too muscular? That is why Warren Buffet turned tail and ran out. He hasn't been seen since. Or will Red Hat change everything? Hey - do I even know what I'm talking about?",0.898
193,$NTNX surge is definitely $IBM related. They talked about M&A in the course of the spin-off - could see a decent fit there.,0.8264
194,IBM is a steal at this price. Not bad to enter get in at this level and will get 1.50/share dividend next week. This baby should be flirting 200 at the coming earnings report due to the good news on the reverse of revenue decline and showing good grows in its cloud and security business and its outlook. IBM's intellectual right alone is worth much much than its current price. I have been accumulating and will add more next week. happy trading and good luck to all.,0.9664
195,is it really down 15% in after hours. what happened?,-0.2933
196,Got a feeling Ginny's tenure will be over by year end. Buy.,0.053
197,Watson is the King. Watson will change the world.,-0.1583
198,"I am a current shareholder and want ro add mire shares, and wondering if it would be a good time to purchase some more shares before earnings call after earnings call, or after the split, I believe a good buying opportunity is around $125 any thoughts,",0.9626
199,"ACTIVIST INVESTOR come save us, we'll all vote your wishes",0.7726
200,"Friends,FYI, IBM dividend record date is 2/8/2019.PAY Date is 3/9/2019. @ $ 1.57 per shareGO IBM!!jg",0.4883
201,Crossing $140 resistance and heading to $150 before the next earnings!,0.1471
202,"at this point, I think no one will leave the ship for Monday, really want to see a 3% push before next Tuesday",0.0111
203,Fairly big miss on an already very low expectations top line. Their business is drying up faster than anyone was expecting. At least they managed to massage the numbers so they got to the low bar bottom line.,-0.2545
204,"so now it will take 3 to 6 months for IBM to get back to maybe 134 again,, Dividends next month so you might get a chase up, but tahts it",0.3465
205,less then 6 months ago trading $158 as Ginny failed to sell Buffett which proved to be correct. The new CEO immediately into Cloud. Only problem 10 year behind MSFT. Lots of hype but the fact is the 1 yr target is $127. A real mgmt failure,-0.7246
206,Is it really that bad?,-0.5364
207,My feeling is Tesla will replace IBM in dow 30 in no time. Still IBM splitting is the best decision for IBM moving forward. RHAT and the best of IBM will combine to do what they can to compete against supergiants but the rest of IBM would be jettisonned off,0.9205
208,"I'm feeling good, Boys. I'm feeling good about IBM. Block-chain is gonna be huge. We don't need Warren Buffet one bit. Good riddance.",0.9081
209,"post earnings bounce has evaporated...shorts are back in control for the foreseeable future, or until the board steps up and does whats necessary....not likely...major shareholders, instead of trying to force their hand, are justbailing. WB will most likely announce he's almost totally out...",0.7405
210,"no comment... just for the record...cloud revenue in 2019...1. Microsoft - 44,70B2. Amazon - 35,03B3. IBM - 21,20B4 Google - 8,92Bwill look at the numbers again at the end of 2020...",-0.1856
211,and netflix rallys with .75 eps and a share price worth almost double. this market makes no sence right now. but it will soon. IBM remains a much safer investment then FANG and related stocks.,0.8075
