,Recent headlines and conversations for UNH,Polarity
219,Pramila Jahapakl Democrat Washington is proposing a Medicare for all bill that is said to have a 100 democrats behind it. All HMO's are getting hit.,-0.1607
220,245.00 +/- .35 for the last hour. Wow could they make it any Korea obvious. Why isn’t this against the law ? The SEC is useless,0.3351
221,Anthem is doing much better it’s down 1.22% stuoid UNH is down 1.95%. This stock is lousy,-0.3945
222,"One negative headline after another after another after another causing the second worst enemy of a stock..........fear and uncertainty. Every time it bounces back another headline hits. Pelosi and Trump discussing drug price reductions being the latest one today following Trump's attack on the ACA, etc., etc. From all the analyst notes I've read none of the headlines poses a legit threat since the legislation required to pass has little to no chance...........and neither does Trump's ACA lawsuit in the opinion of almost everyone.Does that matter to the market? Not one bit. Why? When negative headlines cross the computers say sell.",-0.9909
223,Maybe we can socialize everything we work so hard hard for,0.0115
224,"""Health Care Sector Rating: Outperform. Brad Sorensen""The health care sector continues to be in the headlines, with announced Democratic 2020 presidential candidates often promising to rein in health care costs and increasingly pushing for “Medicare for all.” This appears to have contributed to recent heavy selling in the sector, surprising me as I still believe with the rancor in Washington, the risks of major legislative changes coming to fruition are low, and that investor fear of such is providing an opportunity for investors."" Of course No chance for ""medicare for all"" which the noise only created Buying opportunities. More analysts are hopping on to this reality of buying opportunity over media noise!",0.9546
225,"Didn't we have a democratic debate the evening before the last earnings announcement? What timing! And then there is the Faux Trade deal with China. With Mnuchin saying no tariffs come off before the election, this is the same stance that has sunk a deal before... Trump just won't budge. I don't expect much out of the deal, and now that the details are coming it out, it's going to be sell on the news. Already, the futures are down tonight as a result. Yes, I know UNH is not dependent on trade, but it does move with the Dow much of the time. So a bad market may mute the effects of a good earnings report, and add to that, the Bernie effect from tonight's debate, and all bets are off, as is my money for the time being. GLTA!",0.9396
226,Why the junk is up so much?,-0.1463
227,Any idea on new dividend?,0.2591
228,I Love UNH,0.6369
229,"Take your time today I think the market will tank today, so I will wait for the good price to buy. I believe it only hurts the bank sector, not the high tech. That is the reason, when Dow drops, you can see what the sector goes down, the banks, the tech sector is still hot and has the earnings season to prove that every thing is still in place. The rate goes down, but the health care has nothing to do with it. LOL",0.9278
230,Accumulating...,0.0
231,TBH profiting off ppl dying is probably the worst investment you can have..... not worth it..... Just sell and pick a more humane stock...,0.6457
232,ridiculous,-0.3612
233,"Generally speaking I don't believe in accusations about stock prices being artificially manipulated to rip off retail investors. But what happened yesterday, in light on UNH's announcement today of a divi boost, is pretty remarkable. The market was up strong out of the gate yesterday so as a S&P component UNH participated, initially rising about $1.50. From that point it inexplicably dropped about $3.50, going red to the tune of almost $2 even as the market remained positive by around 200 points. Today it's looking to open around $9 above yesterday's intraday low. As they say.........there ought to be a law.",0.9892
234,Patience.,0.1308
235,"It is following the same pattern as yesterday....a drop at open, a bunch of down movemnet until 220 and then it gets bought only to sell off a bit at the EOD.....so following this pattern we'll open with a quick move down tomorrow.",-0.4926
236,healthcare is a big problem for US - cheating everywhere,-0.4615
237,Buy more as UNH has just triggered a buying point...https://www.investors.com/research/stocks-to-buy-dow-jones-stock-unh-buy-alert/?src=A00220&yptr=yahoo,0.3932
238,the stockholders are doing well but policy holders getting screwed big time,-0.6506
239,Wow that was ugly. Imagine what would happen if the market were to start going down a lot,0.0791
240,210 a layup,0.0
241,Short covering coming... Enjoy the ride.,0.3381
242,It traded for 247 after hours what is happening,-0.0076
243,"Going to be up over a percent today, let's go.",0.2754
244,The junk rallied for days,-0.354
245,"Stay the course, keep buying UNH OCT 250 call, I HAVE A DREAM.",0.6864
246,"Please excuse the stupid question, has the ruling on the ACA been handed down yet? I thought a decision was going to be made by July-August.",-0.8721
247,Plz go back down to $257 :(,-0.5211
248,"Maybe Liberty will be the next BYND,,,,nah!!!!! come on Liberty",0.8522
249,On sale...,0.0273
250,"extremely low volume today with this drop, nobody selling at this level, holding strong. Good sign we will get to $310 and eventually new highs very soon. This ER will be the catalyst.......$310 leading into ER season, and great numbers will take this to new high. $330 is my prediction!!!!!",0.9775
251,Mr. Witty was successful with Optum.He's a witty person to lead UNH.450 mid summer.,0.5447
252,"Let's go UNH, into the green today. Old CVS is having a nice run-up, join them there.",0.6998
253,what's happening ? all my favorites are going down this earning. feel like taking a break this earning season.,0.4429
254,Sell sell,0.1398
255,Give it about 6 months and should be back!,0.2952
256,Bernie Sanders has no chance and no one that sticks to Medicare for all during the general election can beat trump. Whoever the democrats end up with that person will have to change course and go against Medicare for all,-0.0021
257,be buying,0.2781
258,"Ding #$%$ Liz is nearly gone and Crazy Uncle Bernie wins in neighboring state.Look for Bloomberg, Mayor Pete, and Amy remaining after Super Tuesday.",0.8938
259,Run Forrest Run !!,0.4973
260,"Remember... For every seller, there is a buyer. This is a historic two day selloff, based on a rumor. When this reverses, it will leave the little investor that panicked on the outside looking in. ""Buy when others are fearful"".",-0.021
261,Why is this stock going down when in fact they do not have any exposure to China?,0.4559
262,States can regulate pbm reimbursement SCOTUS,0.0225
263,This stock is about to get Trumped,0.2652
264,Tech getting trounced....hi fliers and non profitable companies taking a hit. Banking Oil Airlines rising....bond yield going up. Inflation on the horizon. UNH is in a pretty good spot.,0.8239
265,get ready to buy more...,0.4671
266,"UNH and BA , will take DJIA to all time high shortly!",0.3295
267,The entire market is back to 1999-200 mode. Parabolic. All stock are parabolic. TSLA has went from 180 to 540. Yea that makes sense. Aapl has went from 150 to 315 without anything improving in their business whatsoever. Market is up 40PercentWith gdp up 2 percent. That’s nuts. Pump it 8-10 months before the election so you can crash it 2-3 months before the election,0.2898
268,Sold most of my shares this morning due to negative reaction to earnings. Put proceeds into AMZN.,-0.2186
269,Down 24 in a week,-0.2421
270,UNH is up 4.91% to 259.63,0.1818
271,Fair value $300.00 plus :),0.8561
272,I do like BDX here as well,0.5685
273,I take back what I said about the shorts. This is computer driven algo program selling.,0.1726
274,No news = gains! Keep ‘em comin’!,0.3945
275,Going to 295-296 today to fill the gap.,0.0025
276,"Besides 'missing' the obvious wrt nursinghome deaths...who is keeping track of those dying alone in their apartments? Some of that unpaid rent is not from a conscious decision not to pay. If the first known victim a 57 year old healthy female died alone in her apartment in Santa Clara, CA, you can BET there are alot of others, she was connected and a techie... but many are not. Demanding 'isolation' has other consequences. I ran into an elderly confused man sitting on a bench outside the local grocery store with 3 police trying to figure out what this well-dressed but basically incoherent man was doing there. I spoke to him. He was obviously emerging from his cocoon to seek help but fading in and out of coherence. The police were not wearing masks or gloves. Bad sign.",0.7849
