,Recent headlines and conversations for DAL,Polarity
230,https://www.google.com/amp/s/investorplace.com/2020/06/delta-dal-stock-bankruptcy-best-bailout-cares-act/amp/0,0.0
231,"Remember when dimwits said Goodyear Tire was going down and boycott yada yada, when it was at $10? It's now at $17.",-0.5267
232,Warren Buffet warned companies to keep your politics out of your business a few days ago-Delta should have listened and not falsely maligned and discriminated against the NRA.,-0.0984
233,Good travel numbers into the weekend; DAL $34+ by end of next week.,0.4754
234,if the consumer is doing well in America Delta will continue to earn big bucks once the rest of the world picks up which it looks like its starting to happen Delta will kill it on earnings. it's already way under valued and this stock will take off soon either this quarter or next...,0.8361
235,Seems like more cases everyday. I don't think anyone will feel safe to fly until mid next year..GL!,0.7323
236,Misinforming investors about the timing of earnings releases doesnt generate goodwill when people are hedging their positions with options that have definitive timelines.,-0.0882
237,"smart shorts cover today. Numbers in, DAL still strong and will be best of breed when this is all over.",0.9371
238,swings here should be .20 to .50 at the most. Buy this dip.,0.3606
239,Lol...they tried to bury the earnings announcement with a bunch of other bs headlines. And on top of that last week they posted edited transcript calls from last year. They are trying to hide big time right now.,0.7933
240,"Since taxpayers will pay for this bailout, we will be able to fly free at least for the next couple of years",0.5571
241,Congrats to all LONGS for not buying into the gloom and doom.GLTA,0.2612
242,locked in for Thursday,-0.0295
243,"Airlines and airports get what they wantedThe package includes $32 billion in grants for wages and benefits to the decimated airline industry.That includes $25 billion for passenger airlines, $4 billion for cargo airlines, and $3 billion for industry contractors, such as those who handle catering, baggage, ticketing, and aircraft cleaning.In addition, another $25 billion for passenger airlines and $4 billion for cargo airlines will be available in the form of loans or loan guarantees.Companies that receive the assistance are barred from making furloughs, pay cuts, or stock buybacks, and from issuing dividends to investors, through September. It also institutes limits on executive compensation.Airlines may also be required to operate routes they would otherwise like to cancel because of low ridership or profitability. Under the bill, the Transportation Department can require air carriers continue service on routes, particularly for the ""needs of small and remote communities and the need to maintain well-functioning health care and pharmaceutical supply chains, including for medical devices and supplies.""",0.9521
244,Short panicking. Hold. End of day green,-0.7113
245,$19.25 by market close today time to sell,0.0872
246,"Top Bullish Charts | Week 4, April 2021  https://chart-analysis.tools/Bullish-Charts",0.4083
247,Time for new CEO!!! If the board condones business politics the board also needs replacement.,0.6753
248,"Analyst Actions: Cowen Adjusts Price Target on Delta Air Lines to $53 From $44, Maintains Market Perform RatingBY MT Newswires— 10:37 AM ET 04/09/2021",-0.112
249,"Lol I don’t know why there’s so much pessimism on this board. Yes the airlines are in bad shape, and that’s why they are down 60+%. If you say DAL will go bankrupt, then ALL American carriers will too because DAL is already the strongest. So that won’t happen really. And if some other airlines die out, DAL gets more traffic share afterwards",-0.0779
250,"Followed the company screed on the Georgia voting law. As the attendants always remind us; we have a choice of airlines. I choose 'not Delta'. I hope all my friends on-line, here in South Carolina and my friends and relatives back in Iowa will do the same.",0.7392
251,"Delta got the strongest balance sheet out of all the big airlines. So if they go down, all will go down which the government cannot allow. They will get bailed out for sure!",-0.1588
252,WOW!!!!,0.0
253,"WOW and now you are taking down ""Boycott Delta"" messages.......why not just stand for the right thing, VOTER RIGHTS.",0.1053
254,"Any one else not buying this demand loss narrative for airlines? Buffet is way smarter than me, but I believe even the smartest people can be wrong at times. I don't know a single person who is going to drive 13 hours instead of taking a 2 hour flight due to corona. Huge reward potential for investors looking to incur some risk. No man should be able to move a stock price 11% because of his opinion (other than the ceo). FADE BUFFET!!!",0.9696
255,"At this rate of the last two hours, we could end the day red!",-0.3079
256,"Warren missed out,unless he owns lots of options lol.",0.3651
257,"STrange market, folks.",-0.2198
258,doubt any of the major carriers go out due to this but if so it surely will not be DAL. If anything they will emerge even stronger as a result.,0.8451
259,"Giving away $1.6B as bonus on Valentine's Day, then looking for a hand out a month later, shows how good DAL's fiscal mgt is! That + all the stock buybacks put DAL in this position - now like someone living paycheck to paycheck!",0.9607
260,I still can not believe Buffet hosed his company like he did. There is a tremendous pent up demand to travel including my own family,0.8272
261,"Many say we need to look ahead and buy airlines and cruise lines, really?? Why are so many NOT looking ahead and buying banks, both big and regional?? Or pipelines and oil?? What about reits?? Is it because they pay dividends??Risk/reward I guess.........All i know is there is a lot of ships/planes parked. The Mojave desert has 100's of planes and cruise lines are selling ships, ever wonder why?$spy $ual $dal $cclCarnival Corporation has announced plans to sell 13 ships from its fleet this year amid the Covid-19 pandemic. Last month, Carnival announced it will sell six of its ships to deal with a $4.4bn loss in the second quarter of the year.Jul 13, 2020",0.9207
262,"Shorts are capitalizing on the knee jerk selling due to market volatility. Which is why I don't see it as a reflection of $ROKU. Target is still $150+. I expect this quarter's ER will be positive for ROKU. I'd buy more on today's pullback and continue holding. $DAL is another...it's under $30, and I expect it to go back back up into the mid-30s before recovering to 40-50 as travel continues to climb. No...not CCL...I don't believe people are ready for cruise vacations just yet....airplanes, yet. So ROKU for the stay home audience that continues to use its services and buys ROKU TVs...and DAL for the travelers. Both companies have good cash reserves to weather the storm....as they have for the worst part already.",0.9568
263,"Many people don't realize that many stocks are already down so much with q1 and q2 earnings already priced in. Any bit of good news will push the stock price up. Time to buy is now, don't be greedy and wait for it to come down. Seriously, this Covid is not that bad. There had been much worse viruses in our history and we pulled through fine in the end. We will beat this one very soon and everyone will be back in business.",0.4696
264,"Whether Delta needs an ID to board or not, I will not be flying Delta any longer.",0.6046
265,I think Buffett lost his touch . My opinion,-0.0795
266,"I'm done with the stock market. I've been following and trading for 2 decades now and it just doesn't even make any sense anymore.The 10 year yield is jumping up as the FED claims we have no inflation, at the same time as they say we have a great economy, at the same time as record numbers are unemployed, at the same time as we have trillions upon trillions in stimulus.Then we have things like airlines acting as if the past year didn't happen and as if you are free to fly around the world when most countries have closed their borders. At the same time as oil is breaking into new 52 week highs. At the same time that half of the country doesn't want the vaccine that they need in order to even be airline customers. The entire thing has become insane!It just doesn't even make sense anymore. I'm done!!",0.758
267,finish green!,-0.1497
268,I get that the market is down but given the TSA numbers from Labor Day weekend I would have expected airlines to be in the green what gives $AAL $DAL $UAL $LUV,-0.0475
